,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,"中国人寿保险股份有限公司广安市分公司劳务派遣服务项目
",四川省,http://www.cfcpn.com/front/newcontext/52134,招标,,,,,
1,"华融湘江银行股份有限公司2019年核心系统性能提升项目（一阶段）招标邀请...
",,http://www.cfcpn.com/front/newcontext/52126,招标,,,,,
2,"广发银行东莞分行现金清分外包服务项目
",广东省,http://www.cfcpn.com/front/newcontext/52123,招标,,,2019年12月11,,
3,"关于广发银行肇庆分行云浮支行各网点现金尾箱押运及保管外包服务项目单一来源...
",广东省,http://www.cfcpn.com/front/newcontext/52122,招标,,,,,
4,"中国人民银行清算总中心2019年一卡通综合管理平台建设项目（一期）招标公...
",,http://www.cfcpn.com/front/newcontext/52121,招标,,,2019年12月19,,
5,"中国人民银行清算总中心2019年视频云综合管理平台建设（一期）及北京主站...
",北京市,http://www.cfcpn.com/front/newcontext/52120,招标,,,2019年12月19,,
6,"中国银行大连旅顺支行10kv变电设施改造项目
",辽宁省,http://www.cfcpn.com/front/newcontext/52119,招标,,,,,
7,"中国人民人寿保险股份有限公司电话中心系统延续性开发项目招标公告
",,http://www.cfcpn.com/front/newcontext/52118,招标,,,2019年12月19,2019年11月29,
8,"潮州分行在行式自助银行改造项目和普宁支行在行式自助银行改造项目
",广东省,http://www.cfcpn.com/front/newcontext/52117,招标,,,,,
9,"中国农业银行绥化分行110报警系统升级改造项目
",黑龙江省,http://www.cfcpn.com/front/newcontext/52114,招标,,,,,
10,"中国农业银行股份有限公司2019年度开放平台维保服务项目（第五包：开放...
",,http://www.cfcpn.com/front/newcontext/52107,招标,中国农业银行股份有限公司,总行,,,
11,"中国人民银行清算总中心2019年一卡通综合管理平台建设项目（一期）招标公...
",,http://www.cfcpn.com/front/newcontext/52106,招标,,,2019年12月19,,
12,"中国人民银行清算总中心2019年视频云综合管理平台建设（一期）及北京主站...
",北京市,http://www.cfcpn.com/front/newcontext/52105,招标,,,2019年12月19,,
13,"恒丰银行终端安全管理系统及安全云盘系统维保项目项目公告
",,http://www.cfcpn.com/front/newcontext/52100,招标,,,,,
14,"中国人民银行清算总中心2019年支付系统基准测试实验室安全系统建设项目单...
",,http://www.cfcpn.com/front/newcontext/52095,招标,,,,,
15,"关于中国太平洋保险（集团）VmwareHorizonView桌面虚拟...
",,http://www.cfcpn.com/front/newcontext/52090,招标,,,,,
16,"中国农业银行股份有限公司（贵州省分行）全省营业机构防尾随联动互锁安全门采...
",贵州省,http://www.cfcpn.com/front/newcontext/52088,招标,中国农业银行股份有限公司,分行,,,2019年12月19
17,"关于中国太平洋保险（集团）星空知识图谱-生活健康类知识图谱及图谱挖掘和推...
",,http://www.cfcpn.com/front/newcontext/52084,招标,,,,,
18,"广发银行股份有限公司苏州分行老大楼拆除复原及日晖苑部分复原工程招标公告
",江苏省,http://www.cfcpn.com/front/newcontext/52073,招标,,,2016年1月1,,
19,"交通银行股份有限公司数据中心系统运维大数据分析系统项目招标公告
",,http://www.cfcpn.com/front/newcontext/52068,招标,,,2017年1月1,,2019年12月18
20,"中国人民银行清算总中心2019年清算总中心办公系统IT资源建设项目办公云...
",,http://www.cfcpn.com/front/newcontext/52063,招标,,,,,
21,"中国农业银行股份有限公司网点设备少数民族语言服务项目
",,http://www.cfcpn.com/front/newcontext/52060,招标,中国农业银行股份有限公司,总行,,,2019年12月18
22,"上海银行金钻路支行行牌及室内标识工程采购信息公告
",上海市,http://www.cfcpn.com/front/newcontext/52051,招标,,,,,
23,"交通银行陕西省分行自营商户家易通终端维护服务外包项目-招标公告
",陕西省,http://www.cfcpn.com/front/newcontext/52049,招标,,,,,
24,"交通银行陕西省分行自营商户POS终端维护服务外包项目-招标公告
",陕西省,http://www.cfcpn.com/front/newcontext/52048,招标,,,,,
25,"中国农业银行股份有限公司上海市分行凭证传递服务招标公告
",上海市,http://www.cfcpn.com/front/newcontext/52046,招标,中国农业银行股份有限公司,分行,2016年7月1,2019年11月28,
26,"上海银行2020年-2022年信用卡信函印制外包服务供应商入围采购项目采...
",上海市,http://www.cfcpn.com/front/newcontext/52042,招标,,,,,
