,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,平果县吉祥幼儿园教学楼（一期）工程中标公告,广西壮族自治区百色市平果县,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149709.html,中标,,,,,
1,平果县高级中学学生宿舍楼工程中标公告,广西壮族自治区百色市平果县,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149701.html,中标,,,,,
2,广西主要支流贵港市郁江左岸铁路桥至洪冲段治理工程设计施工总承包重新招标中标结果公示,广西壮族自治区贵港市,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149689.html,中标,,,,,
3,广西乐百高速公路有限公司办公、生活电器采购安装项目招标中标公告,广西壮族自治区百色市,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149674.html,中标,,,,,
4,广西交通投资集团河池高速公路运营有限公司2019年隧道监控系统改造项目招标中标公告,广西壮族自治区河池市,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149676.html,中标,,,,,
5,广西交通投资集团河池高速公路运营有限公司2019年隧道紧急电话和广播改造项目招标中标公告,广西壮族自治区河池市,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149678.html,中标,,,,,
6,广西天然气支线管网项目田东-德保-靖西天然气支线管道工程无损检测服务中标结果公示,广西壮族自治区百色市田东县,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149679.html,中标,,,,,
7,金秀县六巷至罗丹公路安全生命防护工程中标公告,广西壮族自治区来宾市金秀瑶族自治县,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149680.html,中标,,,,,
8,广西国家林木种质资源库管网建设辅助工程中标公告,广西壮族自治区南宁市市辖区,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149645.html,中标,,,,,
9,广西漓昇电力建设有限责任公司带电作业车购置项目 成交结果公告,广西壮族自治区桂林市,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149648.html,中标,,,,,
10,广西绿能电力勘察设计有限公司变电站、线路工程地质勘察项目定点服务单位采购项目成交结果公告,广西壮族自治区,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149635.html,中标,,,,,
11,广西西能自动化设备工程有限公司2019年冲锋衣及工作鞋采购项目 成交结果公告,广西壮族自治区南宁市,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149632.html,中标,,,,,
12,广西物流职业技术学院第一期教学设备和图书采购中标公告,广西壮族自治区南宁市市辖区,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149581.html,中标,,,,,
13,广西-东盟经济技术开发区伏波大道（狮山北路至西江河段）项目剩余工程(KWAD3G2019369)中标候选人公示,广西壮族自治区南宁市武鸣县,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149572.html,中标,,,,,
14,广西大化“夜街”项目-消防工程成交结果公告,广西壮族自治区河池市大化瑶族自治县,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149573.html,中标,,,,,
15,广西林科院保障性苗圃建设项目中标公告,广西壮族自治区南宁市,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149576.html,中标,,,,,
16,广西国家林木种质资源库扩繁圃项目中标公告,广西壮族自治区南宁市,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149565.html,中标,,,,,
17,广西鑫盟工程咨询有限公司2019年生产用车采购项目 成交结果公告,广西壮族自治区南宁市,http://zbtb.gxi.gov.cn:9000/resultBulletin/2019-10-29/149528.html,中标,,,,,
