,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,"
                郑州市中原区环境卫生管理队汽车配件采购项目中标公告",郑州市,http://hnzhaobiao.com//news1/2019-11-5/2424323.html,中标,,,,,
1,"
                郑州绿博开发建设有限公司文昌路停车场建设项目结果公示",郑州,http://hnzhaobiao.com//news1/2019-11-5/2424318.html,中标,,,,,
2,"
                河南省烟草公司安阳市公司新能源送货车辆购置项目 评标结果公示",河南省,http://hnzhaobiao.com//news1/2019-11-5/2424304.html,中标,,,,,
3,"
                河南大学第一附属医院急诊楼设备带安装项目成交公告",河南,http://hnzhaobiao.com//news1/2019-11-5/2424285.html,中标,,,,,
4,"
                郑州市金水区东风路街道办事处部分街角微景观、口袋公园项目 成交公告",郑州市,http://hnzhaobiao.com//news1/2019-11-5/2424275.html,中标,,,,,
5,"
                中原银行股份有限公司驻马店分行“驻马店市中医院银医通”项目采购中标结果公示",驻马店市,http://hnzhaobiao.com//news1/2019-11-5/2424271.html,中标,,,,,
6,"
                河南省肿瘤医院电力设备采购与安装工程（二次）中标结果公示",河南省,http://hnzhaobiao.com//news1/2019-11-5/2424269.html,中标,,,,,
7,"
                河南豫能新能源有限公司长垣县100mw风电项目项目评估工作、评估报告、评价报告编制等项目谈判采购（二次）结果公告",长垣县,http://hnzhaobiao.com//news1/2019-11-5/2424266.html,中标,,,,,
8,"
                河南质量工程职业学院实验、实训、实践教学综合服务平台公开招标中标公告",河南,http://hnzhaobiao.com//news1/2019-11-5/2424265.html,中标,,,,,
9,"
                河南省肿瘤医院分子病理科购置数字式荧光条形码单分子分析系统项目中标结果公告",河南省,http://hnzhaobiao.com//news1/2019-11-5/2424258.html,中标,,,,,
10,"
                郑州市金水区工人新村改造提升项目中标结果公告",郑州市,http://hnzhaobiao.com//news1/2019-11-5/2424249.html,中标,,,,,
11,"
                河南省人民医院内瘘红外线治疗仪及显微镜离心机等采购包1二次中标公告",河南省,http://hnzhaobiao.com//news1/2019-11-5/2424239.html,中标,,,,,
12,"
                河南省南太行地区山水林田湖草生态保护修复工程济源沿黄生态涵养带困难地造林项目(二期)八标段中标结果公示",河南省,http://hnzhaobiao.com//news1/2019-11-5/2424232.html,中标,,,,,
13,"
                郑州市第一人民医院2019年度第一批医学装备采购项目包1、包3中标候选人公示",郑州市,http://hnzhaobiao.com//news1/2019-11-5/2424225.html,中标,,,,,
14,"
                郑州市第五十七中学生物实验室建设项目中标公告",郑州市,http://hnzhaobiao.com//news1/2019-11-5/2424121.html,中标,,,,,
15,"
                郑州市体育局国民体质监测器材购置项目中标公告",郑州市,http://hnzhaobiao.com//news1/2019-11-5/2424119.html,中标,,,,,
16,"
                郑州地铁4号线05标成品钢板风管材料招标中标公告",郑州,http://hnzhaobiao.com//news1/2019-11-5/2423965.html,中标,,,,,
17,"
                郑州市高标准“菜篮子”生产示范基地建设项目（石井村）设备及安装结果公告",郑州市,http://hnzhaobiao.com//news1/2019-11-5/2423958.html,中标,,,,,
18,"
                河南教育学院健康管理实验中心ⅰ期中标公告",河南,http://hnzhaobiao.com//news1/2019-11-5/2423957.html,中标,,,,,
19,"
                河南石油分公司2019-2021年度工程项目造价咨询（框架协议）工程造价三标段中标公示",河南,http://hnzhaobiao.com//news1/2019-11-5/2423954.html,中标,,,,,
20,"
                河南农业大学农学院收割机、喷灌机采购项目中标公告",河南,http://hnzhaobiao.com//news1/2019-11-5/2423951.html,中标,,,,,
21,"
                河南中原高速公路股份有限公司路产管理大队巡逻车采购项目河南中原高速公路股份有限公司路产管理大队巡逻车采购项目clcg-1标段中标候选人公示",河南,http://hnzhaobiao.com//news1/2019-11-5/2423939.html,中标,,,,,
22,"
                河南中原高速公路股份有限公司路产管理大队巡逻车采购项目河南中原高速公路...",河南,http://hnzhaobiao.com//news1/2019-11-5/2423938.html,中标,,,,,
23,"
                河南省人民医院（16排ct、ge mr1.5 hdx）维保服务项目1标段（16排ct）中标...",河南省,http://hnzhaobiao.com//news1/2019-11-5/2423936.html,中标,,,,,
24,"
                郑州市金水区城市管理局2019年冬季融雪剂采购成交公告",城市,http://hnzhaobiao.com//news1/2019-11-5/2423934.html,中标,,,,,
