,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,省级电视节目无线数字化覆盖一期工程技术验收测试服务结果公告,,http://www.gc-zb.com/read-176689192,中标,,,,,
1,锦州市凌河区人民法院库存档案扫描服务外包项目,锦州市,http://www.gc-zb.com/read-176688861,中标,,,,,
2,锦州市凌河区人民法院卷宗档案随案生成服务外包项目结果公告,锦州市,http://www.gc-zb.com/read-176688817,中标,,,,,
3,中国科学院沈阳自动化研究所智能制造装备控制器云开发环境采购成交公告,沈阳,http://www.gc-zb.com/read-176688260,中标,,,,,
4,ZTSYJ2019-CGS0790 通辽电务段轨道车运行控制设备GYK软件升级业务外包评审结果公示,通辽,http://www.gc-zb.com/read-176665793,中标,,,,,
5,大连市农业农村发展服务中心执法船舶保险服务采购项目合同公告,大连市,http://www.gc-zb.com/read-176681794,中标,,,,,
6,大连市农业农村发展服务中心执法船舶保险服务采购项目,大连市,http://www.gc-zb.com/read-176659902,中标,,,,,
7,大连大学附属中山医院全自动染色体核型扫描分析系统、FISH分析系统采购项目中标公告,大连,http://www.gc-zb.com/read-176597648,中标,,,,,
8,沈阳高新技术产业开发区综合评价结果公告,阳高,http://www.gc-zb.com/read-176503124,中标,,,,,
9,中国邮政集团公司盘锦邮件处理中心场地装卸分拣业务外包采购项目（二次公告）招标公告,盘锦,http://www.gc-zb.com/read-176434381,中标,,,,,
10,2019年大连市人力资源和社会保障局金保工程系统维保采购项目合同公告,大连市,http://www.gc-zb.com/read-176395310,中标,,,,,
11,国家税务总局大连市沙河口区税务局扫描仪电子卖场采购项目成交公告,大连市,http://www.gc-zb.com/read-176335864,中标,,,,,
12,2019年大连市人力资源和社会保障局金保工程系统维保采购项目,大连市,http://www.gc-zb.com/read-176049015,中标,,,,,
13,宽甸满族自治县库区移民开发服务中心的虎山镇红石村二组广场硬化及桥梁工程竞争性磋商成交通告,族自治县,http://www.gc-zb.com/read-176015137,中标,,,,,
14,宽甸满族自治县库区移民开发服务中心的虎山镇长岗子村六组村部院面硬化及桥梁工程竞争性磋商成交通告,族自治县,http://www.gc-zb.com/read-176015131,中标,,,,,
15,宽甸满族自治县库区移民开发服务中心的长甸镇桦树甸村22-28组路基改造工程竞争性磋商成交通告,族自治县,http://www.gc-zb.com/read-176015118,中标,,,,,
16,营口银行视频会议系统设备采购项目中标结果公示,营口,http://www.gc-zb.com/read-175915608,中标,,,,,
17,中国烟草总公司大连市公司重大疾病保险定点服务机构采购中标候选人公示,大连市,http://www.gc-zb.com/read-175849367,中标,,,,,
18,大连经济技术开发区明伦小学A1#-A7#楼监理,大连,http://www.gc-zb.com/read-175635882,中标,,,,,
