,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,【山东省本级】山东职业学院协同办公系统建设项目竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281996,招标,,,,,
1,【山东省本级】山东职业学院档案管理系统建设项目竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281988,招标,,,,,
2,【山东省本级】泰山学院教师教育学院实验室环境改造工程项目竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281957,招标,,,,,
3,【山东省本级】山东省食品药品检验研究院实验室试剂耗材采购竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281944,招标,,,,,
4,【山东省本级】山东省立第三医院转化医学研究中心仪器设备采购项目公开招标公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281931,招标,,,,,
5,【山东省本级】山东艺术学院教学专用仪器设备采购项目A包竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281899,招标,,,,,
6,【山东省本级】山东建筑大学图书馆2019年度图书及期刊采购项目竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281808,招标,,,,,
7,【山东省本级】青岛农业大学水电维修材料供应商遴选项目（1994）竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281803,招标,,,,,
8,【山东省本级】山东省立医院医疗设备采购公开招标公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281795,招标,,,,,
9,【山东省本级】山东中医药大学附属医院千佛山院区胃肠镜中心室外工程竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281738,招标,,,,,
10,【山东省本级】青岛农业大学地下管网勘察测绘项目竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281726,招标,,,,,
11,【山东省本级】青岛农业大学智慧农业物联网教学中心设备采购（19114）竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281715,招标,,,,,
12,【山东省本级】青岛农业大学仪器设备采购（19115）竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281712,招标,,,,,
13,【山东省本级】山东中医药大学附属医院千佛山院区脾胃病科病房电缆敷设工程竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281521,招标,,,,,
14,【山东省本级】滨州学院省学位与研究生教育质量强化建设项目生化类仪器设备采购项目A6-A10公开招标公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281518,招标,,,,,
15,【山东省本级】滨州学院省学位与研究生教育质量强化建设项目生化类仪器设备采购项目A1-A5包公开招标公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281515,招标,,,,,
16,【山东省本级】山东省立医院查体中心排队系统软件开发服务公开招标公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281098,招标,,,,,
17,【山东省本级】青岛港湾职业技术学院数据平台软硬件建设采购项目竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201281009,招标,,,,,
18,【山东省本级】山东理工大学机械学院仪器设备采购项目竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201280764,招标,,,,,
19,【山东省本级】“齐鲁粮油”电梯平面广告宣传项目竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0301&id=201280265,招标,,,,,
