,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,【济南市】济南市济阳区仁风镇冬季清洁取暖项目公开招标公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291504,招标,,,,,
1,【济南市】济南市济阳区仁风镇新型城镇化综合试点项目公开招标公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291498,招标,,,,,
2,【济南市】济南市历下区人民政府智远街道办事处辖区牌匾综合整治工程竞争性磋商公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291389,招标,,,,,
3,【济南市】济南市济阳区回河街道办事处农村清洁取暖项目监理竞争性磋商公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291387,招标,,,,,
4,【烟台市】山东省烟台市栖霞市栖霞市果都城市建设发展有限公司栖霞市聚魁家园（聚魁村棚户区改造）建设项目基坑支护工程竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291380,招标,,,,,
5,【烟台市】山东省烟台市栖霞市栖霞市第一中学录播设备及校园电视台设备采购及安装公开招标公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291373,招标,,,,,
6,【济南市】济南市济阳区回河街道办事处农村清洁取暖项目公开招标公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291351,招标,,,,,
7,【济南市】济南市历下区人民政府甸柳新村街道办事处辖区鼎峰中心西侧危墙提升改造工程项目竞争性磋商公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291332,招标,,,,,
8,【烟台市】山东省烟台市栖霞市栖霞市寺口中学栖霞市寺口中学教学设备采购及安装公开招标公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291329,招标,,,,,
9,【日照市】山东省日照市疾病预防控制中心实验室改造工程竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291319,招标,,,,,
10,【济南市】济南市长清区人民政府五峰山街道办事处太阳能堆肥房建设项目竞争性磋商公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291278,招标,,,,,
11,【德州市】德州市新湖南路小学办公电脑采购项目竞争性磋商公告,德州市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291273,招标,,,,,
12,【济南市】济南市历下区素质教育实践中心素教中心线路改造工程竞争性磋商公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291254,招标,,,,,
13,【济南市】济南市槐荫区第二实验幼儿园玩教具采购项目竞争性磋商公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291211,招标,,,,,
14,【济南市】济南市济阳区曲堤镇人民政府37个农村清洁取暖项目公开招标公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291196,招标,,,,,
15,【济南市】济南市天桥区人民法院执行局电力改造工程竞争性磋商公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291188,招标,,,,,
16,【济南市】济南市历下区人民检察院五楼电教室会议系统改造项目公开招标公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291161,招标,,,,,
17,【济南市】济南市历下区人民检察院VR应用系统项目公开招标公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291147,招标,,,,,
18,【济南市】柳埠街道办事处2019年度森林抚育项目竞争性磋商公告,济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291133,招标,,,,,
19,【潍坊市】山东省潍坊市青州市公安局一体化采集设备采购项目竞争性磋商公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291102,招标,,,,,
20,【济南市】济南市生态环境局饮用水水源地规范化建设项目公开招标公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291067,招标,,,,,
21,【济南市】济南市历下区人民检察院档案全文数字化加工项目竞争性谈判公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291064,招标,,,,,
22,【济南市】济南市历城区机关事务服务中心（便民服务中心）电子政务网络安全系统项目公开招标公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291036,招标,,,,,
23,【济南市】济南市历下区教育和体育局安防系统工程校车监控平台系统工程项目竞争性磋商公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201291005,招标,,,,,
24,【济南市】钢城区机关事务管理局公车购置采购项目公开招标公告,济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290932,招标,,,,,
25,【济南市】济南市公安局济南市公安局电子物证设备、声纹鉴定仪设备采购公开招标公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290794,招标,,,,,
26,【济南市】济南市技师学院济南市技师学院实训室专用设备公开招标公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290738,招标,,,,,
27,【济南市】杨庄泵站改造工程竞争性磋商公告,济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290698,招标,,,,,
28,【济南市】济南市长清区人民政府五峰山街道办事处农村产权制度改革档案整理竞争性磋商公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290682,招标,,,,,
29,【山东省本级】山东省威海市文登经济开发区公用事业服务中心环保型融雪剂供应公开招标采购公告,山东省,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290638,招标,,,2019年11月27,,2019年11月27
30,【潍坊市】山东省潍坊市青州市杨集林场2019年乡村振兴重大专项资金（省财政补助）青州市杨集林场护林房修复及路面硬化工程项目竞争性磋商公告,潍坊市青,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290595,招标,,,,,
31,【济南市】济南市儿童医院济南市儿童医院医疗设备采购公开招标公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290347,招标,,,,,
32,【济南市】征集文史资料、编纂《高新区历史文化通览》及所需印刷项目竞争性磋商公告,济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201290308,招标,,,,,
