,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,中国移动广东公司2019年性能管理平台实时类应用支撑定制软件开发服务单一来源采购项目_单一来源采购信息公告,广东,http://www.qianlima.com/zb/detail/20191104_157296351.html,招标,,,,,
1,深圳市蛇口育才教育集团第四小学学生学业期末综合评价系统开发项目采购（2次）,深圳市,http://www.qianlima.com/zb/detail/20191104_157271234.html,招标,,,,,
2,2019年深圳分公司基于自然语言解析实现的异构数据库SQL脚本智能转换工具研发项目软件开发采购比选公告,深圳,http://www.qianlima.com/zb/detail/20191104_157280255.html,招标,,,,,
3,2019年光明区民办中小学生体质测试服务项目（二次）采购公告,,http://www.qianlima.com/zb/detail/20191104_157197662.html,招标,,,,,
4,深航AB测试项目公开招标公告,,http://www.qianlima.com/zb/detail/20191104_157147932.html,招标,,,,,
5,招标公告：五矿经易期货有限公司深圳后海五矿金融大厦测试机房及办公智能化项目公开招标公告,深圳,http://www.qianlima.com/zb/detail/20191104_157162948.html,招标,,,,,
6,招商证券基金托管外包异地灾备系统网络设备采购项目公告,,http://www.qianlima.com/zb/detail/20191104_157147404.html,招标,,,,,
7,深圳市不动产登记中心不动产登记责任保险项目（项目编号：1371-1940GHSZ1193）招标公告,深圳市,http://www.qianlima.com/zb/detail/20191104_157145983.html,招标,,,,,
8,中国邮政集团公司深圳市分公司鼠年纯银银章外包装印制招标项目公开招标公告,深圳市,http://www.qianlima.com/zb/detail/20191104_157118963.html,招标,,,,,
9,深圳市人力资源和社会保障局劳动能力鉴定综合辅助服务项目公开招标公告,深圳市,http://www.qianlima.com/zb/detail/20191104_157112771.html,招标,,,,,
10,中国银行深圳市分行业务票据国际国内快递服务项目采购公告,深圳市,http://www.qianlima.com/zb/detail/20191104_157114258.html,招标,,,,,
11,中信银行WIFI服务单一来源采购公示,,http://www.qianlima.com/zb/detail/20191104_157105023.html,招标,,,,,
