,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,R5300000000619001452：云南省运动器材装备中心购买体育扶贫装备器材项目竞争性谈判公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-38ab6a41.16e35e7303c.-5fba,招标,,,,,
1,KCGC-2019-1308：云南中医药大学云南省高层次中医药人才培养对象购置实验设备采购（二次）竞争性谈判公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-3d51a050.16e35e3368d.-6a2e,招标,,,,,
2,云南省镇雄县苏木水库第二标段（社会稳定风险分析评估、移民安置社会稳定风险评估相关工作）（二次）,昭通市,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-6642ee8d.16e35e5d7c4.-6869,招标,,,,,
3,ZD93170-ZGH19121027：云南大学古生物研究重点实验室进口科研凝胶成像系统、碳硫分析仪项目采购公开招标公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-6642ee8d.16e35e5d7c4.-68ad,招标,,,,,
4,ZC530922201900003：云南省临沧市云县岔河水库工程PPP项目（三次招标）评标结果公示,临沧市,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-6642ee8d.16e35e5d7c4.-68c3,招标,,,,,
5,QHZB-201911KM0251：云南大学民族政治研究院资料室书籍项目采购竞争性谈判公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-6642ee8d.16e35e5d7c4.-68d1,招标,,,,,
6,YNTTCG20190529：云南机电职业技术学院动车虚拟仿真实训中心建设项目竞争性磋商公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-38ab6a41.16e35e7303c.-61dd,招标,,,,,
7,E5300000000319001723C1：云南省博物馆藏品保护环境提升维护项目（二次）竞争性磋商公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=7555392a.16e35e3972e.-62e0,招标,,,,,
8,P5300000000319001138C3：云南工程职业学院幼儿园模拟实训室建设项目竞争性磋商公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-38ab6a41.16e35e7303c.-6242,招标,,,,,
9,ZD93582-ZGH19120887：云南大学商旅学院、公安处呈贡校区重点区域视频监控、门禁管理系统建设项目采购公开招标公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-6642ee8d.16e35e5d7c4.-69d7,招标,,,,,
10,YNJH2019167：云南省重点行业企业用地土壤污染状况调查工作项目招标公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=7555392a.16e35e3972e.-636c,招标,,,2019年11月26,2019年11月05,
11,YNLB20191109：云南省疾病预防控制中心扩大艾滋病检测试剂采购项目（2019-87）竞争性磋商,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=7555392a.16e35e3972e.-6405,招标,,,,,
12,Q5300000000319001740C1：云南省体育工作大队2019年重点项目运动员营养品采购项目（二次）竞争性谈判公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=7555392a.16e35e3972e.-6383,招标,,,,,
