,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,I5300000000119001278：云南林业职业技术学院经济管理学院企业经营模拟仿真系统单一来源采购成交结果公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=7555392a.16e35e3972e.-6167,中标,,,,,
1,YNJH2019169：云南省生态环境科学研究院科研设备采购项目成交公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-38ab6a41.16e35e7303c.-6173,中标,,,,,
2,I5300000000119001277：云南林业职业技术学院经济管理学院管理会计平台单一来源采购成交结果公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=7555392a.16e35e3972e.-61b7,中标,,,,,
3,ZA22815-ZGH19130928：云南师范大学图书馆2020年中文图书报刊采购项目中标公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-6642ee8d.16e35e5d7c4.-6949,中标,,,,,
4,YNJH2019168：云南省生态环境科学研究院环境科研服务采购项目成交公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=7555392a.16e35e3972e.-6444,中标,,,,,
5,R5300000000419001447：云南省参加第二届长三角国际文化产业博览会承办服务成交公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-38ab6a41.16e35e7303c.-6611,中标,,,,,
6,KCCG-2019-1003：云南昆明血液中心进口设备采购项目公开招标中标结果公告,昆明市,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-38ab6a41.16e35e7303c.-69ce,中标,,,,,
7,YDCOH20191203：云南艺术学院网站群系统及定制开发、数据迁移服务采购成交公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-6642ee8d.16e35e5d7c4.-6fd1,中标,,,,,
8,YNZZZB-2019-044(W)：云南省文化和旅游厅2019年中国旅游交易会会展服务采购项目C标段竞争性磋商成交公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-6642ee8d.16e35e5d7c4.-7148,中标,,,,,
9,YNZZZB-2019-044(W)：云南省文化和旅游厅2019年中国旅游交易会会展服务采购项目B标段竞争性磋商成交公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-6642ee8d.16e35e5d7c4.-7196,中标,,,,,
10,YNZZZB-2019-044(W)：云南省文化和旅游厅2019年中国旅游交易会会展服务采购项目A标段竞争性磋商成交公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-6642ee8d.16e35e5d7c4.-71e8,中标,,,,,
11,Q5300000000519001621：云南省肿瘤医院2019年第十八批政府采购(血液科层流病房净化系统升级改造项目)单一来源采购项目成交公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-6642ee8d.16e35e5d7c4.-7448,中标,,,,,
12,CZBKM19144：云南省计量测试技术研究院信息与网络安全等级保护 项目竞争性磋商成交公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-38ab6a41.16e35e7303c.-7449,中标,,,,,
13,ZD20190103：云南省气象台云南气象预报预警能力提升项目采购虚拟化软件成交公示,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-38ab6a41.16e35e7303c.-7544,中标,,,,,
14,0848-1941ZC212119：云南省肿瘤医院2019年第二十一批政府采购(经营管理一体化信息系统维保)单一来源成交公告,省级,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=7555392a.16e35e3972e.-6ecb,中标,,,,,
15,MJZ2019183：麻栗坡县天保镇人民政府口岸市政环卫管理实行服务外包管理成交结果公示,文山州,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-3d51a050.16e35e3368d.-77b6,中标,,,,,
16,HTCG2019-54：云南省水文水资源局德宏分局硅PU篮球场改造工程（二次）竞争性谈判成交结果公告,德宏州,http://www.yngp.com/newbulletin_zz.do?method=preinsertgomodify&operator_state=1&flag=view&bulletin_id=-38ab6a41.16e35e7303c.-797c,中标,,,,,
