,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,大连石化公司碱液调和等业务外包项目,大连,http://dalian.okcis.cn//dnww20191128192407651067.html,招标,,,,,
1,大连石化公司装卸车等业务外包项目,大连,http://dalian.okcis.cn//dnww20191128192407649886.html,招标,,,,,
2,中国人民银行大连市中心支行钞票处理业务和库区操作员业务外包服务采购项目竞争性磋商,大连,http://dalian.okcis.cn//dnww20191128191339066955.html,招标,,,,,
3,中国银行大连旅顺支行10kv变电设施改造项目,大连,http://dalian.okcis.cn//dnww20191128190319482631.html,招标,,,,,
4,大连足球青训基地项目电线采购,大连,http://dalian.okcis.cn//dnww20191128183921971655.html,招标,,,,,
5,大连足球青训基地项目阀门、热风幕采购,大连,http://dalian.okcis.cn//dnww20191128183919971563.html,招标,,,,,
6,大连足球青训基地项目塑料管及管件、金属穿线管采购,大连,http://dalian.okcis.cn//dnww20191128183918967886.html,招标,,,,,
7,大连足球青训基地项目玻璃棉、橡塑保温采购,大连,http://dalian.okcis.cn//dnww20191128183916972161.html,招标,,,,,
8,大连经济技术开发区人民检察院电脑采购竞争性磋商采购公告,大连,http://dalian.okcis.cn//dnww20191128180809963831.html,招标,,,,,
9,大连经济技术开发区人民检察院办公设备采购竞争性磋商采购公告,大连,http://dalian.okcis.cn//dnww20191128180751827300.html,招标,,,,,
10,大连市普兰店区四平镇人民政府四平街道2019年低收入村扶贫开发项目公开招标公告,大连,http://dalian.okcis.cn//dnww20191128173343076912.html,招标,,,,,
11,大连港北岸投资开发有限公司北岸公司港内巡检工作,大连,http://dalian.okcis.cn//dnww20191128100912429275.html,招标,,,,,
12,大连国际健康科技产业聚集区综合开发项目PPP咨询服务机构采购项目招标公告,大连,http://dalian.okcis.cn//dnww20191128093802447987.html,招标,,,,,
13,【旅顺口区】【采购公告】大连国际健康科技产业聚集区综合开发项目PPP咨询服务机构采购项目招标公告,大连,http://dalian.okcis.cn//dnww20191128092437637541.html,招标,,,,,
