,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,白云区房地一体的宅基地和集体建设用地试点外业权籍调查和成果审核项目的中标、成交公告,,http://www.ccgp-guangdong.gov.cn/showNotice/id/40288ba96eab47f6016eb1df8d931a32.html,中标,,,,,
1,白云区房地一体的农村宅基地和集体建设用地确权登记试点维稳宣讲项目的中标、成交公告,,http://www.ccgp-guangdong.gov.cn/showNotice/id/40288ba96eab47f6016eb15ec9ec0240.html,中标,,,,,
2,湛江经济技术开发区国土资源局湛江市开发区不动产登记存量数据整合项目的中标、成交公告,广东省,http://www.ccgp-guangdong.gov.cn/showNotice/id/40288ba96eab47f6016eb102bbc4466c.html,中标,,,,,
3,珠海（国家）高新技术产业开发区管理委员会发展改革和财政金融局审计费采购项目中标公告,广东省,http://www.ccgp-guangdong.gov.cn/showNotice/id/40288ba96eab47f6016eb0fbc0b642ed.html,中标,,,,,
4,始兴县公安局始兴县公安局G220线新建区间测试交通监控设施项目,,http://www.ccgp-guangdong.gov.cn/showNotice/id/40288ba96eab47f6016eb10c45e74de5.html,中标,,,,,
5,（佛山市人力资源和社会保障局）人社局信息系统基础平台维护保修项目（2019年）,佛山市,http://www.ccgp-guangdong.gov.cn/showNotice/id/40288ba96eab47f6016eb10024084563.html,中标,,,,,
6,（佛山市人力资源和社会保障局）佛山市信息惠民工程（人力资源和社会保障方向）维护项目（2019年）-中标公告,广东省,http://www.ccgp-guangdong.gov.cn/showNotice/id/40288ba96eab47f6016eb0fc38744337.html,中标,,,,,
7,广州科技贸易职业学院混合现实MR开发实训室采购项目(CZ2019-1917)中标结果公告,广东省,http://www.ccgp-guangdong.gov.cn/showNotice/id/40288ba96eab47f6016eb0e383ec3621.html,中标,,,,,
8,湛江经济技术开发区住房和规划建设局湛江石化产业园安置小区管道燃气设施配套建设经营项目的成交公告,广东省,http://www.ccgp-guangdong.gov.cn/showNotice/id/40288ba96eab47f6016eb08063eb0aef.html,中标,,,,,
9,东莞松山湖高新技术产业开发区管理委员会东部工业园统筹办公室松山湖东部工业园松竹路设计项目的中标、成交公告,广东省,http://www.ccgp-guangdong.gov.cn/showNotice/id/40288ba96e6b31d3016ea6e46e7455e0.html,中标,,,,,
10,广州市南沙区房地产交易中心房地产档案整理扫描质量检查服务项目的中标、成交公告,广州市,http://www.ccgp-guangdong.gov.cn/showNotice/id/40288ba96eab47f6016eafe2460d524e.html,中标,,,,,
11,佛山市南海区创建节水型单位水平衡测试的中标公告,佛山市,http://www.ccgp-guangdong.gov.cn/showNotice/id/40288ba96eab47f6016eabb81aef1d0a.html,中标,,,,,
12,虎门高铁站轨道交通综合开发工作领导小组办公室虎门高铁站南广场B7-01及B8-01地块土壤调查工作的中标、成交公告,,http://www.ccgp-guangdong.gov.cn/showNotice/id/40288ba96eab47f6016eabfaecbb40ef.html,中标,,,,,
