,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,湛江市公安局麻章分局车辆保险服务采购项目(第三次)成交公告,湛江市,https://zb.zhaobiao.cn/succeed_v_28881825.html,中标,,,,,
1,国家税务总局江门高新技术产业开发区税务局交换机电子卖场采购项目成交公告,江门,https://zb.zhaobiao.cn/succeed_v_28878406.html,中标,,,,,
2,国家税务总局江门高新技术产业开发区税务局普通路由器电子卖场采购项目成交公告,江门,https://zb.zhaobiao.cn/succeed_v_28878223.html,中标,,,,,
3,广州白云国际机场集团综合开发有限公司资产（钻戒）出售信息,广州,https://zb.zhaobiao.cn/succeed_v_28873504.html,中标,,,,,
4,扶梯工厂环境污染责任保险申购需求项目采购中标公告,,https://zb.zhaobiao.cn/succeed_v_28871254.html,中标,,,,,
5,天健科技大厦公区幕墙玻璃清洗服务外包采购结果公示,,https://zb.zhaobiao.cn/succeed_v_28872869.html,中标,,,,,
6,广州白云国际机场集团综合开发有限公司资产（纪念币、手表等）出售信息,广州,https://zb.zhaobiao.cn/succeed_v_28873466.html,中标,,,,,
7,华能南澳风电场青澳变电站主接地网接地电阻测试项目询价书的采购结果,南澳,https://zb.zhaobiao.cn/succeed_v_28875273.html,中标,,,,,
8,2020年调度自动化主站等级保护测评、安全防护风险评估与渗透测试结果公告,,https://zb.zhaobiao.cn/succeed_v_28875560.html,中标,,,,,
9,中车广东公司轨道交通车辆修造基地建设项目（一期工程）二阶段监理中标候选人公示,广东,https://zb.zhaobiao.cn/succeed_v_28875643.html,中标,,,,,
10,南海经济开发区人民医院小塘院区停车场管理服务采购项目中标、成交公告,,https://zb.zhaobiao.cn/succeed_v_28875858.html,中标,,,,,
11,广东顺德东部新城投资开发有限公司等9家区属国有企业2019年度财务报表审计（编号：20191114FP1573701249842）网上竞价结果公示,广东,https://zb.zhaobiao.cn/succeed_v_28877771.html,中标,,,,,
12,广州供电局分布式光纤测温传感技术试点工程监测平台软件开发结果公告,广州,https://zb.zhaobiao.cn/succeed_v_28877700.html,中标,,,,,
13,佛山市新城开发建设有限公司2019年度财务报表审计（编号：20191114FP1573696154926）网上竞价结果公示,佛山市,https://zb.zhaobiao.cn/succeed_v_28877697.html,中标,,,,,
14,智能网联汽车与智慧交通应用示范区智能基础设施及应用平台建设项目危险车辆管理平台开发服务（中移全通）采购项目_中选候选人公示,,https://zb.zhaobiao.cn/succeed_v_28879001.html,中标,,,,,
15,饶平县人民法院诉讼电子卷宗随案生成扫描服务项目的成交,饶平县,https://zb.zhaobiao.cn/succeed_v_28879479.html,中标,,,,,
16,2019年深圳市国库现金管理商业银行定期存款（第五期）项目中标结果公告,深圳市,https://zb.zhaobiao.cn/succeed_v_28882135.html,中标,,,,,
17,中国人寿广州市分公司2019年软件研发信息服务供应商入围项目中标候选人公示,广州市,https://zb.zhaobiao.cn/succeed_v_28882145.html,中标,,,,,
18,翁源产业园电源基地污水处理厂项目环评中选公告中选公告,翁源,https://zb.zhaobiao.cn/succeed_v_28883590.html,中标,,,,,
