,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,洋浦经济开发区就业局档案密集架采购项目询价公告,海南省,http://www.bidchance.com/info-gonggao-47470380.html,招标,,,,,
1,海南医学院-海南医学院校园网络线路及网络设备运维外包项目-竞争性磋商公告,海南省,http://www.bidchance.com/info-gonggao-47463099.html,招标,,,,,
2,陵水黎族自治县职业中等专业学校-学生创业就业孵化基地设备采购-公开招标公告,海南省,http://www.bidchance.com/info-gonggao-47448532.html,招标,,,,,
3,中免集团三亚市内免税店有限公司呼叫中心客服外包服务项目,海南省,http://www.bidchance.com/info-gonggao-47483610.html,招标,,,,,
4,海南省疾病控制中心流芳路8号国家医师资格技能考试基地改造项目招标公告,海南省,http://www.bidchance.com/info-gonggao-47398043.html,招标,,,,,
5,P-XJ-19-00131396第2次大唐平阴清洁能源开发有限公司平阴三期风电场询价公告-第2次,海南省,http://www.bidchance.com/info-gonggao-47422257.html,招标,,,,,
6,2019年12月-昌江基地-取料机配件（按图加工）-公开询比价-华润水泥控股（海南）大区,海南省,http://www.bidchance.com/info-gonggao-47437552.html,招标,,,,,
7,关于选取海南老城经济开发区盈滨大道盈滨桥南段污水收集管道工程地形图测绘单位的通知,海南省,http://www.bidchance.com/info-gonggao-47450702.html,招标,,,,,
8,2019年11月28日华能核电开发有限公司海南昌江公司内网专线和互联网采购询价书询价公告,海南省,http://www.bidchance.com/info-gonggao-47451824.html,招标,,,,,
9,海南医学院校园网络线路及网络设备运维外包项目-竞争性磋商公告,海南省,http://www.bidchance.com/info-gonggao-47455247.html,招标,,,,,
10,2020-2021年海南电信部分工程结算审计委托外包服务项目-招标公告,海南省,http://www.bidchance.com/info-gonggao-47461011.html,招标,,,,,
11,2019年海南农垦西联天然橡胶基地建设项目（胶园漫水桥1座）（二次招标）招标公告,海南省,http://www.bidchance.com/info-gonggao-47462346.html,招标,,,,,
12,2019年海南农垦西联天然橡胶基地建设项目（储胶池1座）（二次招标）招标公告,海南省,http://www.bidchance.com/info-gonggao-47470898.html,招标,,,,,
