,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,"
其他商业保险（专卖执法人员及公安派驻人员意外伤害保险）（三次）预中标结果
",,http://www.bidcenter.com.cn/news-81896985-4.html,中标,,,,,
1,"
华北制药集团新药研究开发有限责任公司重组人源抗人肿瘤坏死因子(TNF-a)单克隆抗体注射液I期临床试验技术服务招标公告
",,http://www.bidcenter.com.cn/news-81896010-1.html,招标,,,,,
2,"
邯郸银行资产负债管理系统、人脸识别系统和冠字号系统硬件招标变更
",,http://www.bidcenter.com.cn/news-81895894-6.html,招标,,,,,
3,"
烟草公司张家口市公司其他商业保险（专卖执法人员及公安派驻人员意外伤害保险）（三次）招标变更
",,http://www.bidcenter.com.cn/news-81895554-6.html,招标,,,,,
4,"
邯郸银行资产负债管理系统、人脸识别系统和冠字号系统硬件预中标结果
",,http://www.bidcenter.com.cn/news-81894467-4.html,中标,,,,,
5,"
张家口银行新乐幸福路支行安防招标公告
",,http://www.bidcenter.com.cn/news-81893312-1.html,招标,,,,,
6,"
张家口银行正定西关支行安防招标公告
",,http://www.bidcenter.com.cn/news-81893189-1.html,招标,,,,,
7,"
开发区2019衡开22号中标结果
",,http://www.bidcenter.com.cn/news-81892502-4.html,中标,,,,,
8,"
衡水湖旅游文创综合开发招标公告
",,http://www.bidcenter.com.cn/news-81891661-1.html,招标,,,,,
9,"
衡水高新技术产业开发区执法用检测设备招标公告
",,http://www.bidcenter.com.cn/news-81889307-1.html,招标,,,,,
10,"
沧州渤海新区临港经济技术开发区东区供热管网化工二路东延至渤天化、鹏发工程招标变更
",,http://www.bidcenter.com.cn/news-81886344-6.html,招标,,,,,
11,"
沧州渤海新区临港经济技术开发区东区供热管网化工二路东延至渤天化、鹏发工程预中标结果
",,http://www.bidcenter.com.cn/news-81883747-4.html,中标,,,,,
12,"
焊装车间三坐标测量机、手持式3D扫描仪及影像坐标测量系统采购招标公告
",,http://www.bidcenter.com.cn/news-81882999-1.html,招标,,,,,
13,"
继电保护测试仪采购
",,http://www.bidcenter.com.cn/news-81881977-5.html,招标,,,,,
14,"
河北省新建面积约170087平方米云计算基地建设项目
",,http://www.bidcenter.com.cn/newsyj-81234767-3.html,招标,,,,,
15,"
后方基地管理站战备路辅助工程招标变更
",,http://www.bidcenter.com.cn/news-81873188-6.html,招标,,,,,
16,"
【唐山海港经济开发区南孙庄、姚圈村棚户区改造工程三期工程监理预中标结果
",,http://www.bidcenter.com.cn/news-81872733-4.html,中标,,,,,
17,"
后方基地管理站战备路辅助工程预中标结果
",,http://www.bidcenter.com.cn/news-81872498-4.html,中标,,,,,
18,"
校方责任保险二次招标公告
",,http://www.bidcenter.com.cn/news-81870981-1.html,招标,,,,,
19,"
人民医院停车场人员劳务外包招标公告·
",,http://www.bidcenter.com.cn/news-81870643-1.html,招标,,,,,
20,"
代理保险柜面出单辅助信息录入系统招标公告
",,http://www.bidcenter.com.cn/news-81870596-1.html,招标,,,,,
21,"
年化化工原材料（石灰石、氧化钙）供应商入围（二次）B标段（氧化钙）预中标结果
",,http://www.bidcenter.com.cn/news-81869526-4.html,中标,,,,,
22,"
年化化工原材料（石灰石、氧化钙）供应商入围（二次）A标段（石灰石）预中标结果
",,http://www.bidcenter.com.cn/news-81869516-4.html,中标,,,,,
23,"
年化化工原材料（石灰石、氧化钙）供应商入围（二次）B标段（氧化钙）招标变更
",,http://www.bidcenter.com.cn/news-81868134-6.html,招标,,,,,
24,"
年化化工原材料（石灰石、氧化钙）供应商入围（二次）A标段（石灰石）招标变更
",,http://www.bidcenter.com.cn/news-81868124-6.html,招标,,,,,
25,"
打印扫描复印一体机	采购
",,http://www.bidcenter.com.cn/news-81866784-5.html,招标,,,,,
26,"
邢台银行综合营业楼可行性研究报告编制服务（二次）中标结果
",,http://www.bidcenter.com.cn/news-81857193-4.html,中标,,,,,
27,"
学院保险柜招标公告
",,http://www.bidcenter.com.cn/news-81851693-1.html,招标,,,,,
28,"
胸科医院电子病历语音录入系统预中标结果
",,http://www.bidcenter.com.cn/news-81835284-4.html,中标,,,,,
29,"
职教中心实训基地改造预中标结果
",,http://www.bidcenter.com.cn/news-81835173-4.html,中标,,,,,
30,"
胸科医院电子病历语音录入系统招标变更
",,http://www.bidcenter.com.cn/news-81834752-6.html,招标,,,,,
31,"
玉田县人力资源和社会保障局社会保障公共服务平台信息化建设采购项目询价采购成交公告
",,http://www.bidcenter.com.cn/news-81976907-4.html,招标,,,,,
32,"
沧州渤海新区临港经济技术开发区东区供热管网化工二路东延至渤天化、鹏发工程项目中标候选人公示
",,http://www.bidcenter.com.cn/news-81963776-4.html,中标,,,,,
33,"
河北省人民防空办公室后方基地战备路辅助工程
",,http://www.bidcenter.com.cn/news-81960317-4.html,招标,,,,,
34,"
G1302741900392001唐山海港经济开发区南孙庄、姚圈村棚户区改造工程三期工程监理中标候选人公示
",,http://www.bidcenter.com.cn/news-81957031-4.html,中标,,,,,
35,"
沧州临港经济技术开发区综合执法局环卫清扫车、应急巡查车采购项目招标公告
",,http://www.bidcenter.com.cn/news-81956421-1.html,招标,,,,,
