,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,"
                                                河北省投资约800万元养殖场建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81069620-3.html,招标,,,,,
1,"
                                                河北省新建面积约55624平方米住宅楼建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81069120-3.html,招标,,,,,
2,"
                                                河北省新建面积约10100平方米厂房建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81068396-3.html,招标,,,,,
3,"
                                                河北省投资约3000万元旅游景点建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-79188749-3.html,招标,,,,,
4,"
                                                河北省投资约50000万元旅游建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81066063-3.html,招标,,,,,
5,"
                                                河北省投资约1000万元厂房建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81065656-3.html,招标,,,,,
6,"
                                                河北省投资约1700万元厂房建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81065426-3.html,招标,,,,,
7,"
                                                河北省投资约1700万元养殖场建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81064820-3.html,招标,,,,,
8,"
                                                河北省新建面积约87412平方米厂房建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81063882-3.html,招标,,,,,
9,"
                                                河北省新建面积约46653平方米厂房建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81063616-3.html,招标,,,,,
10,"
                                                河南疃污水处理厂及配套管网工程骆庄新村段管网,招标公告
                                            ",,http://www.bidcenter.com.cn/news-81058706-1.html,招标,,,,,
11,"
                                                河北省投资约46000万元住宅建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81057221-3.html,招标,,,,,
12,"
                                                河北中烟工业有限责任公司一号工程打码机升级改造购置二标段：一号工程打码机购置中标结果
                                            ",,http://www.bidcenter.com.cn/news-81057163-4.html,招标,,,,,
13,"
                                                河北省大江大河水文监测（一期）建设工程(邯郸2019中央资金部分)监测设备01标段中标结果
                                            ",,http://www.bidcenter.com.cn/news-81056973-4.html,招标,,,,,
14,"
                                                中华人民共和国河北出入境边防检查总站资金存放银行服务代理中标结果
                                            ",,http://www.bidcenter.com.cn/news-81054682-4.html,招标,,,,,
15,"
                                                河北省扩建面积约7200平方米厂房建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81053708-3.html,招标,,,,,
16,"
                                                河北省投资约2100万元厂房建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81053466-3.html,招标,,,,,
17,"
                                                河北省投资约3000万元厂房建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81053265-3.html,招标,,,,,
18,"
                                                河北衡水市市场监督管理局8楼视频会议室建设工程中标结果
                                            ",,http://www.bidcenter.com.cn/news-81051086-4.html,招标,,,,,
19,"
                                                河北省新建面积约10500平方米厂房建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81031452-3.html,招标,,,,,
20,"
                                                河北省投资约35000万元旅游景点建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-79909479-3.html,招标,,,,,
21,"
                                                北京至雄安新区高速公路河北段第三方试验检测中标结果
                                            ",,http://www.bidcenter.com.cn/news-81046553-4.html,招标,,,,,
22,"
                                                河北省新建面积约30821平方米住宅楼建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81034626-3.html,招标,,,,,
23,"
                                                河北省新建面积约149496平方米住宅楼建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81033469-3.html,招标,,,,,
24,"
                                                河北省面积约5000平方米养老院建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-78053233-3.html,招标,,,,,
25,"
                                                河北省新建养老服务中心建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-80816956-3.html,招标,,,,,
26,"
                                                河北省新建面积约31483平方米住宅楼建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-80985202-3.html,招标,,,,,
27,"
                                                河北省投资约230000万元医院建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-80871158-3.html,招标,,,,,
28,"
                                                河北省新建面积约120000平方米冷链产业园建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81028918-3.html,招标,,,,,
29,"
                                                河北省合成新材料综合利用工程项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81028508-3.html,招标,,,,,
30,"
                                                河北省面积约134091平方米棚户区改造建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-81028434-3.html,招标,,,,,
31,"
                                                河北省面积约36249平方米学校建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-73095998-3.html,招标,,,,,
32,"
                                                河北省住宅楼建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-80118584-3.html,招标,,,,,
33,"
                                                河北省新建面积约23059平方米住宅楼建设项目
                                            ",,http://www.bidcenter.com.cn/newsyj-80979105-3.html,招标,,,,,
34,"
                                                河北省环境监测中心省界出入境断面水质自动站建设项目进口仪器设备购置HB2019064670040004
                                            ",,http://www.bidcenter.com.cn/news-81069938-1.html,招标,,,,,
35,"
                                                河北省工业和信息化厅无线电信号截获分析系统供货合同HB2019073500020003
                                            ",,http://www.bidcenter.com.cn/news-81069937-4.html,招标,,,,,
36,"
                                                河北医科大学第一医院采购货物购销合同(肺功能测试系统)HB2019073610340001
                                            ",,http://www.bidcenter.com.cn/news-81069917-4.html,招标,,,,,
37,"
                                                河北科技大学化工一流学科经费购置进口科研仪器项目供货合同第01包HB2019093601020005
                                            ",,http://www.bidcenter.com.cn/news-81069906-4.html,招标,,,,,
38,"
                                                河北中烟工业有限责任公司大数据加工存储服务平台运维服务项目
                                            ",,http://www.bidcenter.com.cn/news-81069360-4.html,招标,,,,,
39,"
                                                河北医科大学第一医院新建医技病房楼项目配电箱、柜采购
                                            ",,http://www.bidcenter.com.cn/news-81069348-4.html,招标,,,,,
40,"
                                                河北建材职业技术学院基本账户代理银行服务项目(二次)
                                            ",,http://www.bidcenter.com.cn/news-81069345-4.html,招标,,,,,
41,"
                                                河北省烟草公司邯郸市公司购置多功能一体机项目
                                            ",,http://www.bidcenter.com.cn/news-81069341-4.html,招标,,,,,
42,"
                                                中国邮政集团公司河北省分公司代理保险柜面出单辅助信息录入系统采购项目
                                            ",,http://www.bidcenter.com.cn/news-81068999-6.html,招标,,,,,
43,"
                                                河北医科大学第四医院试剂采购项目（十一）（二次）公开招标公告
                                            ",,http://www.bidcenter.com.cn/news-81068992-1.html,招标,,,,,
44,"
                                                国网河北省电力有限公司保定供电分公司220kV、110kV跨越津石高速改造工程招标
                                            ",,http://www.bidcenter.com.cn/news-81068990-1.html,招标,,,,,
45,"
                                                河北整修方案室内吊顶工程招标公告
                                            ",,http://www.bidcenter.com.cn/news-81068935-1.html,招标,,,,,
46,"
                                                河北丰宁风电公司油酸值测定仪询价采购询价结果公告
                                            ",,http://www.bidcenter.com.cn/news-81068691-4.html,招标,,,,,
47,"
                                                河北丰宁风电公司绝缘油介质损耗及介电强度等测试仪器询价采购询价结果公告
                                            ",,http://www.bidcenter.com.cn/news-81068683-4.html,招标,,,,,
48,"
                                                中冶天工河北怀来官厅水库国家湿地公园建设项目（一期）-房建工程博物馆及配建幕墙工程
                                            ",,http://www.bidcenter.com.cn/news-81068551-5.html,招标,,,,,
49,"
                                                河北建投宣化热电有限责任公司2020年度循环水处理药剂采购招标公告
                                            ",,http://www.bidcenter.com.cn/news-81068203-1.html,招标,,,,,
50,"
                                                河北河北省烟草公司张家口市公司吸烟区建设物资（吸烟室）、吸烟桶（烟蒂收集器）项目中标候选人公示
                                            ",,http://www.bidcenter.com.cn/news-81068164-4.html,招标,,,,,
51,"
                                                河北河北中烟工业有限责任公司大数据加工存储服务平台运维服务
                                            ",,http://www.bidcenter.com.cn/news-81068142-4.html,招标,,,,,
52,"
                                                河北环境工程学院环境工程系仪器设备采购公开招标
                                            ",,http://www.bidcenter.com.cn/news-81067962-4.html,招标,,,,,
53,"
                                                河北工程大学中央支持地方高校改革发展资金---物质分析中心进口设备招标公告
                                            ",,http://www.bidcenter.com.cn/news-81067960-1.html,招标,,,,,
54,"
                                                河北省产品质量监督检验研究院信息化建设服务，业务综合办公平台。公开招标
                                            ",,http://www.bidcenter.com.cn/news-81067958-4.html,招标,,,,,
55,"
                                                河北省森林防火指挥部办公室高压远程水罐车采购项目招标公告
                                            ",,http://www.bidcenter.com.cn/news-81067954-1.html,招标,,,,,
56,"
                                                河北金融学院多媒体教室监控系统维护服务外包采购项目公开招标
                                            ",,http://www.bidcenter.com.cn/news-81067953-4.html,招标,,,,,
57,"
                                                河北省卫生健康委员会2019年度河北省卫生健康委卫生应急物资储备公开招标
                                            ",,http://www.bidcenter.com.cn/news-81067950-4.html,招标,,,,,
58,"
                                                河北省复员军人医院关于小型医疗设备一批项目二、五标段(二次)公开招标公告
                                            ",,http://www.bidcenter.com.cn/news-81067947-1.html,招标,,,,,
59,"
                                                河北省发展和改革委员会投资咨询评估机构采购项目2、4、5、8、9标段磋商公告
                                            ",,http://www.bidcenter.com.cn/news-81067935-1.html,招标,,,,,
60,"
                                                河北省发展和改革委员会投资咨询评估机构采购项目13、15、16、20标段磋商公告
                                            ",,http://www.bidcenter.com.cn/news-81067931-1.html,招标,,,,,
61,"
                                                河北省市场监督管理局机关4楼会议室改造项目
                                            ",,http://www.bidcenter.com.cn/news-81067917-1.html,招标,,,,,
62,"
                                                河北中医学院采购权力监督平台项目一标段中标候选人公示
                                            ",,http://www.bidcenter.com.cn/news-81067842-4.html,招标,,,,,
63,"
                                                内蒙古能源发电兴安热电有限公司水文地质勘察、土壤现状监测、补充灰场设计材料委托第三方项目-2招标公告
                                            ",,http://www.bidcenter.com.cn/news-81067596-6.html,招标,,,,,
64,"
                                                河北长征汽车制造有限公司搬迁改造项目冲压车间起重机、平板车、激光切割机及配套设备采购中标候选人公示
                                            ",,http://www.bidcenter.com.cn/news-81067470-4.html,招标,,,,,
65,"
                                                河北省公安厅信息化基础设施及应用系统项目第13标段：印章管理系统中标公告
                                            ",,http://www.bidcenter.com.cn/news-81067351-4.html,招标,,,,,
66,"
                                                河北医科大学第四医院疑难病症诊治能力提升工程项目（肿瘤学方向）（中央预算内基建）（国际招标）（第二批）（三）公开招标公告
                                            ",,http://www.bidcenter.com.cn/news-81067343-1.html,招标,,,,,
67,"
                                                河北工程大学附属医院C型臂采购项目公开招标公告
                                            ",,http://www.bidcenter.com.cn/news-81067341-1.html,招标,,,,,
68,"
                                                河北医科大学第一医院医疗设备采购项目二标段：电切镜（等离子）更正公告
                                            ",,http://www.bidcenter.com.cn/news-81067338-6.html,招标,,,,,
69,"
                                                河北大学-西门子测控技术实验室单一来源公告
                                            ",,http://www.bidcenter.com.cn/news-81067334-1.html,招标,,,,,
70,"
                                                国家电投集团东方新能源股份有限公司（河北公司）2019年第十九批集中招标（大城风电通讯设备）二次变更公告
                                            ",,http://www.bidcenter.com.cn/news-81066781-6.html,招标,,,,,
71,"
                                                河北唐山电力建筑安装有限公司遵化众泰分公司2019年10月份物资竞争性谈判采购成交结果公示
                                            ",,http://www.bidcenter.com.cn/news-81066537-4.html,招标,,,,,
72,"
                                                河北唐山电力建筑安装有限公司变电工程分公司2019年10月物资招标采购中标候选人公示
                                            ",,http://www.bidcenter.com.cn/news-81066536-4.html,招标,,,,,
73,"
                                                河北医科大学第一医院医疗设备（灯床塔类）采购项目（国际招标）公开招标中标公告
                                            ",,http://www.bidcenter.com.cn/news-81065980-4.html,招标,,,,,
