,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,张家口银行股份有限公司张家口管理部代驾服务项目招标公告,张家口市桥东区,http://www.hebeieb.com/infogk/detail.do?categoryid=101101&infoid=I1300000001066346001001&bdcodes=I1300000001066346001001&laiyuan=%255B%25E5%25B9%25B3%25E5%258F%25B0%25E5%2586%2585%255D,招标,,,,,
1,河北省胸科医院便携式动脉硬化测试仪、周围神经病变检测仪、高集成彩色多普勒超声诊断仪采购项目公开招标公告,石家庄市长安区,"http://www.hebeieb.com/infogk/detail.do?categoryid=101101&infoid=I1300000001065542001001&bdcodes=I1300000001065542001002,I1300000001065542001001,I1300000001065542001003&laiyuan=%255B%25E5%25B9%25B3%25E5%258F%25B0%25E5%2586%2585%255D",招标,,,,,
2,中国邮政储蓄银行股份有限公司河北省分行河北省电影院映前广告采购项目（二次）,石家庄市市辖区,"http://www.hebeieb.com/infogk/detail.do?categoryid=101101&infoid=I1300000001065958001002&bdcodes=I1300000001065958001002,&laiyuan=%255B%25E5%25B9%25B3%25E5%258F%25B0%25E5%2586%2585%255D",招标,中国邮政储蓄银行股份有限公司,分行,,,
3,河北沧州农村商业银行股份有限公司异地灾备数据中心项目,沧州市运河区,"http://www.hebeieb.com/infogk/detail.do?categoryid=101101&infoid=I1300000001066268001001&bdcodes=I1300000001066268001001,&laiyuan=%255B%25E5%25B9%25B3%25E5%258F%25B0%25E5%2586%2585%255D",招标,,,,,
4,中国邮政集团公司唐山市分公司古冶区邮路外包项目（三次）,唐山市古冶区,http://www.hebeieb.com/infogk/detail.do?categoryid=101101&infoid=I1300000001063058001003&bdcodes=I1300000001063058001003&laiyuan=%255B%25E5%25B9%25B3%25E5%258F%25B0%25E5%2586%2585%255D,招标,,,,,
5,"中国邮政集团公司唐山市分公司迁西县邮路外包项目,",唐山市迁西县,http://www.hebeieb.com/infogk/detail.do?categoryid=101101&infoid=I1300000001066263001001&bdcodes=I1300000001066263001001&laiyuan=%255B%25E5%25B9%25B3%25E5%258F%25B0%25E5%2586%2585%255D,招标,,,,,
6,张家口银行股份有限公司行业应用物业及热力收缴费系统采购项目招标公告,张家口市桥东区,http://www.hebeieb.com/infogk/detail.do?categoryid=101101&infoid=I1300000001066286001001&bdcodes=I1300000001066286001001&laiyuan=%255B%25E5%25B9%25B3%25E5%258F%25B0%25E5%2586%2585%255D,招标,,,,,
7,【河北公安警察职业学院新校区暨省公安民警训练基地建设项目设计】招标公告,石家庄市栾城县,http://www.hebeieb.com/infogk/detail.do?categoryid=101101&infoid=e5e12e0b81a17990755003ba44a2e0af&bdcodes=E1300000271001998001001&laiyuan=%255B%25E6%258B%259B%25E6%25A0%2587%25E9%2580%259A%255D,招标,,,,,
8,中国邮政储蓄银行股份有限公司河北省分行ATM设备维保采购项目,石家庄市市辖区,"http://www.hebeieb.com/infogk/detail.do?categoryid=101101&infoid=I1300000001066015001001&bdcodes=I1300000001066015001001,I1300000001066015001002,I1300000001066015001003,I1300000001066015001004,&laiyuan=%255B%25E5%25B9%25B3%25E5%258F%25B0%25E5%2586%2585%255D",招标,中国邮政储蓄银行股份有限公司,分行,,,
9,【河北公安警察职业学院新校区暨省公安民警训练基地建设项目勘察】招标公告,,http://www.hebeieb.com/infogk/detail.do?categoryid=101101&infoid=623d310534ade13a40aeb7b7b30c52ef&bdcodes=E1300000271001999001001&laiyuan=%255B%25E6%258B%259B%25E6%25A0%2587%25E9%2580%259A%255D,招标,,,,,
