,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,大庆市国土资源局高新技术产业开发区分局2019年度建设用地节约集约利用状况评价服务采购2019年建设用地集约状况评价预中标公告2019-11-13,大庆市,https://zb.zhaobiao.cn/succeed_v_28706797.html,中标,,,,,
1,穆棱经济开发区科技孵化园二期（一号厂房）建设项目穆棱经济开发区科技孵化园二期（一号厂房）建设项目-中标候选人公示-正常公告,穆棱,https://zb.zhaobiao.cn/succeed_v_28697111.html,中标,,,,,
2,佳木斯车务段铁路货物装卸业务外包招标项目（二次）成交公告,佳木斯,https://zb.zhaobiao.cn/succeed_v_28708847.html,中标,,,,,
3,中国铁路哈尔滨局集团有限公司佳木斯车务段铁路货物装卸业务外包招标项目（二次）成交公告,佳木斯,https://zb.zhaobiao.cn/succeed_v_28710074.html,中标,,,,,
4,黑龙江省亚布力体育训练基地冰状雪场地工程场地恢复工程成交公告,黑龙江省,https://zb.zhaobiao.cn/succeed_v_28716376.html,中标,,,,,
5,中国邮政储蓄银行股份有限公司绥化市分行资产保全部核销档案印刷采购项目成交结果公示,绥化市,https://zb.zhaobiao.cn/succeed_v_28720339.html,中标,中国邮政储蓄银行股份有限公司,分行,,,
6,中国邮政储蓄银行股份有限公司望奎县支行财政局政务管理软件采购项目成交结果公示,望奎县,https://zb.zhaobiao.cn/succeed_v_28720357.html,中标,中国邮政储蓄银行股份有限公司,分行,,,
7,中国农业银行2019年业务用纸采购项目采购结果公告2019年业务用纸（东港）3220箱,东港,https://zb.zhaobiao.cn/succeed_v_28707384.html,中标,,,,,
8,中国农业银行2019年业务用纸采购项目采购结果公告2019年业务用纸（汉印）9777箱,,https://zb.zhaobiao.cn/succeed_v_28707414.html,中标,,,,,
9,牡丹江市医疗保障局_牡丹江市区城镇职工大额医疗保险项目及服务项目中标公告,牡丹江市,https://zb.zhaobiao.cn/succeed_v_28727749.html,中标,,,,,
10,龙江银行理财销售管理系统升级2.0版采购项目,龙江,https://zb.zhaobiao.cn/succeed_v_28728527.html,中标,,,,,
