,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,"
中国邮政储蓄银行股份有限公司河南省分行信息系统等级保护测评采购项目竞争性磋商公告",郑州市,http://hnzhaobiao.com/info_show.asp?id=2440500,招标,中国邮政储蓄银行股份有限公司,分行,,,
1,"
开封市数字化信息采集外包服务项目采购公告",开封市,http://hnzhaobiao.com/info_show.asp?id=2441712,招标,,,,,
2,"
南召县蚕业局城郊乡董店柞蚕制种检测基地及附属配套工程设计项目竞争性磋商公告",南阳市,http://hnzhaobiao.com/info_show.asp?id=2440445,招标,,,,,
3,"
濮阳经济技术开发区对外联络局招商外包服务项目竞争性磋商公告",濮阳市,http://hnzhaobiao.com/info_show.asp?id=2441777,招标,,,,,
4,"
中原总部基地西地块(新发展楷林广场)桩基检测服务招标公告",郑州市,http://hnzhaobiao.com/info_show.asp?id=2440392,招标,,,,,
5,"
卢氏县国家储备林文峪乡南王村花椒基地建设及经营项目-公开招标公告",三门峡市,http://hnzhaobiao.com/info_show.asp?id=2440324,招标,,,,,
6,"
关于国网河南省电力公司济源供电公司2019年网上廉政教育基地功能提升、内容更新及优化完善项目授权谈判采购的竞争性谈判公告（第二次）（采购编号:yz-采-j-201911310）",济源市,http://hnzhaobiao.com/info_show.asp?id=2440295,招标,,,,,
7,"
河南省航田产业园开发有限公司双鹤湖畔2号住宅项目全过程造价咨询服务招标公告",郑州市,http://hnzhaobiao.com/info_show.asp?id=2440210,招标,,,,,
8,"
关于国网河南省电力公司济源供电公司2019年网上廉政教育基地功能提升、内容更新及优化完善项目授权谈判采购的竞争性谈判公告（第二次）（采购编号:yz-采-j-201911310）",济源市,http://hnzhaobiao.com/info_show.asp?id=2441787,招标,,,,,
9,"
中原银行股份有限公司社保类外部数据采购项目招标公告（重新招标）",郑州市,http://hnzhaobiao.com/info_show.asp?id=2439719,招标,,,,,
10,"
漯河市示范性综合实践基地安全教育中心设备维护竞争性谈判公告",漯河市,http://hnzhaobiao.com/info_show.asp?id=2439350,招标,,,,,
