,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,技术开发费项目招标公告(变更),,http://www.gc-zb.com/read-185240812,招标,,,,,
1,中国人民银行长春中心支行业务网虚拟化平台安全防护系统购置项目更正公告,台安,http://www.gc-zb.com/read-185237519,招标,,,,,
2,净月高新技术开发区海绵城市专项规划招标公告,城市,http://www.gc-zb.com/read-185232079,招标,,,,,
3,净月高新技术开发区海绵城市实施方案招标公告,城市,http://www.gc-zb.com/read-185231716,招标,,,,,
4,四平卷烟厂物资搬运及生产辅助业务外包服务项目招标公告,四平,http://www.gc-zb.com/read-185230895,招标,,,,,
5,中国人民财产保险股份有限公司白山市分公司办公用品定点招标公告[变更][变更],白山市,http://www.gc-zb.com/read-185230290,招标,,,,,
6,中国人民银行长春中心支行业务网虚拟化平台安全防护系统购置项目竞争性磋商公告[变更],台安,http://www.gc-zb.com/read-185230123,招标,,,,,
7,测试数据采集设备-事件采集设备项目(重新采购)采购项目公告,,http://www.gc-zb.com/read-185229058,招标,,,,,
8,湖南中烟工业有限责任公司四平卷烟厂四平卷烟厂物资搬运及生产辅助业务外包服务项目公开招标公告,四平,http://www.gc-zb.com/read-185200377,招标,,,,,
9,中国人民银行长春中心支行业务网虚拟化平台安全防护系统购置项目竞争性磋商公告,台安,http://www.gc-zb.com/read-185198389,招标,,,,,
10,吉林省长白山保护开发区管理委员会旅游和文化体育局第四届中国-吉林国际冰雪产业博览会展位特装项目公开招标公告,吉林省,http://www.gc-zb.com/read-185193908,招标,,,,,
11,吉林银行松原分行春节对联礼包项目竞争性磋商公告,吉林,http://www.gc-zb.com/read-185178244,招标,,,,,
12,中国科学院长春光学精密机械与物理研究所120MPa深海静压模拟测试装置采购项目公开招标公告,长春,http://www.gc-zb.com/read-185146485,招标,,,,,
13,四平卷烟厂物资搬运及生产辅助业务外包服务项目,四平,http://www.gc-zb.com/read-185110235,招标,,,,,
14,微纳力学性能测试仪（JLU-ZC19140）采购公告,,http://www.gc-zb.com/read-186165350,招标,,,,,
15,一汽集团间隙段差扫描仪项目国际招标公告(2),,http://www.gc-zb.com/read-185023334,招标,,,,,
16,一汽集团间隙段差扫描仪项目重新招标澄清或变更公告(1),,http://www.gc-zb.com/read-185021089,招标,,,,,
17,净月高新技术开发区海绵城市专项规划,城市,http://www.gc-zb.com/read-184982053,招标,,,,,
18,净月高新技术开发区海绵城市实施方案,城市,http://www.gc-zb.com/read-184981961,招标,,,,,
19,吉林油田井下电缆多分层动态测试技术服务招标公告,吉林,http://www.gc-zb.com/read-185073307,招标,,,,,
20,中国邮政储蓄银行股份有限公司吉林省分行一汽支行专属智能化设备采购项目招标公告,吉林省,http://www.gc-zb.com/read-184959337,招标,中国邮政储蓄银行股份有限公司,分行,,,
21,中国邮政储蓄银行股份有限公司吉林省分行管理网接入路由器框架入围采购项目招标公告,吉林省,http://www.gc-zb.com/read-184959129,招标,中国邮政储蓄银行股份有限公司,分行,,,
22,长春市福利工艺制品厂外包服务项目（二次）招标公告,长春市,http://www.gc-zb.com/read-184957139,招标,,,,,
23,长春净月高新技术产业开发区城市建设管理委员会净月高新技术开发区海绵城市专项规划公开招标公告,城市,http://www.gc-zb.com/read-184940187,招标,,,,,
24,长春净月高新技术产业开发区城市建设管理委员会净月高新技术开发区海绵城市实施方案公开招标公告,城市,http://www.gc-zb.com/read-184939791,招标,,,,,
25,吉林油田井下电缆多分层动态测试技术服务,吉林,http://www.gc-zb.com/read-184938819,招标,,,,,
26,长春招胜房地产开发有限公司学府1872建设项目监理招标,长春,http://www.gc-zb.com/read-184872159,招标,,,,,
27,中国邮政储蓄银行股份有限公司吉林省分行一汽支行专属智能化设备采购项目公开招标公告,吉林省,http://www.gc-zb.com/read-184747111,招标,中国邮政储蓄银行股份有限公司,分行,,,
28,中国邮政储蓄银行股份有限公司吉林省分行管理网接入路由器框架入围采购项目公开招标公告,吉林省,http://www.gc-zb.com/read-184746077,招标,中国邮政储蓄银行股份有限公司,分行,,,
29,长春市福利工艺制品厂外包服务项目（二次）,长春市,http://www.gc-zb.com/read-184739615,招标,,,,,
30,中国邮政储蓄银行股份有限公司吉林省分行管理网接入路由器框架入围采购项目,吉林省,http://www.gc-zb.com/read-184635478,招标,中国邮政储蓄银行股份有限公司,分行,,,
31,长春农村商业银行股份有限公司IPV6改造设备采购项目招标公告,长春,http://www.gc-zb.com/read-184631808,招标,,,,,
32,中国邮政储蓄银行股份有限公司吉林省分行一汽支行专属智能化设备采购项目,吉林省,http://www.gc-zb.com/read-184630063,招标,中国邮政储蓄银行股份有限公司,分行,,,
33,长春市市场监督管理局12315消费投诉、举报平台接线员外包服务采购公告,长春市,http://www.gc-zb.com/read-184559312,招标,,,,,
34,长春汽车工业高等专科学校新能源实训基地建设采购项目招标公告,长春,http://www.gc-zb.com/read-184559134,招标,,,,,
