,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,沈阳中德园开发建设集团有限公司资产评估单位入围招标中标候选人公示,沈阳,http://www.gc-zb.com/read-185936749,中标,,,,,
1,沈阳中德园开发建设集团有限公司审计单位入围招标中标候选人公示,沈阳,http://www.gc-zb.com/read-185936606,中标,,,,,
2,东北大学2019年第二十九批货物采购项目——C/S架构工业控制软件开发平台比选采购成交公告,,http://www.gc-zb.com/read-185936177,中标,,,,,
3,中国医科大学附属盛京医院本溪基地洗涤设备购置费用（软化水系统）中标公告,本溪,http://www.gc-zb.com/read-185934202,中标,,,,,
4,辽宁省大连市血液中心T淋巴细胞白血病病毒检测试剂采购项目的单一来源公示,辽宁省,http://www.gc-zb.com/read-185735606,中标,,,,,
5,一汽（大连）国际物流有限公司零部件物流服务岗位外包项目询比采购异常公告,大连,http://www.gc-zb.com/read-185983321,中标,,,,,
6,国家税务总局锦州经济技术开发区税务局轿车电子卖场采购项目成交公告,锦州,http://www.gc-zb.com/read-185235404,中标,,,,,
7,达拉特光伏发电领跑奖励激励基地2019年5号项目箱式变电站采购,达拉特,http://www.gc-zb.com/read-185231455,中标,,,,,
8,大连市血液中心T淋巴细胞白血病病毒检测试剂采购项目单一来源公示,大连市,http://www.gc-zb.com/read-185222423,中标,,,,,
9,开发区人民法院“一化两中心”建设项目监理,,http://www.gc-zb.com/read-185222034,中标,,,,,
10,辽阳市宏伟区城乡建设和城市管理服务中心关于对《辽阳重要芳烃及化纤原料基地发展规划环境影响报告书》跟踪评价和编制芳烃基地环境保护规划项目,城市,http://www.gc-zb.com/read-185200718,中标,,,,,
11,辽阳市经创中心无线电监测站技术设施维护外包项目,辽阳市,http://www.gc-zb.com/read-185200707,中标,,,,,
12,开发区人民法院“一化两中心”建设项目监理建设工程中标候选人公示监理,,http://www.gc-zb.com/read-185198660,中标,,,,,
13,ZTSYJ2019-CGS0774长春车辆段2019年防滑器配件检修业务外包（三次）竞争性或单一来源评审结果公示,长春,http://www.gc-zb.com/read-185195872,中标,,,,,
14,ZTSYJ2019-CGS0764锦州电务段2019年轨道车运行控制设备GYK软件升级业务外包（三次）竞争性谈判评审结果公示,锦州,http://www.gc-zb.com/read-185194986,中标,,,,,
15,赤峰工务段基地基础设施安装询价结果公示,赤峰,http://www.gc-zb.com/read-185188930,中标,,,,,
16,超高速多通道测试系统（JJ19001073）成交结果公告,通道,http://www.gc-zb.com/read-185174618,中标,,,,,
17,[监理][沈阳市]辽宁公安反恐特战训练基地反恐信息化与战术模拟对抗训练平台项目监理建设工程中标候选人公示监理,沈阳市,http://www.gc-zb.com/read-185165711,中标,,,,,
18,中国邮政集团公司葫芦岛市分公司派遣服务入围项目,葫芦岛市,http://www.gc-zb.com/read-185165092,中标,,,,,
19,沈阳理工大学本科网络在线课程开发项目成交公告(LNZC2019-0357),沈阳,http://www.gc-zb.com/read-185165058,中标,,,,,
20,辽宁公安反恐特战训练基地反恐信息化与战术模拟对抗训练平台项目监理中标候选人公示,公安,http://www.gc-zb.com/read-185129308,中标,,,,,
21,瓦房店沿海项目开发有限公司发行债券拟公开招标方式确定主承销商中标公告,瓦房店,http://www.gc-zb.com/read-185127219,中标,,,,,
22,设备手机时时管理系统应用开发询价书的采购结果,,http://www.gc-zb.com/read-185126604,中标,,,,,
23,辽宁公安反恐特战训练基地反恐信息化与战术模拟对抗训练平台项目监理建设工程中标候选人公示监理,公安,http://www.gc-zb.com/read-185125913,中标,,,,,
24,沈阳中城城市矿产资源开发有限公司沈阳城市固废综合利用绿色环保产业园叉车采购中标公告,城市,http://www.gc-zb.com/read-185121229,中标,,,,,
25,沈阳中城城市矿产资源开发有限公司沈阳城市固废综合利用绿色环保产业园全自动液压刮板取料机、全自动可逆布料机遥控柜采购中标公告,城市,http://www.gc-zb.com/read-185118438,中标,,,,,
26,沈阳中城城市矿产资源开发有限公司沈阳城市固废综合利用绿色环保产业园双级真空挤砖机组、强力搅拌挤出机、GS系列对辊机采购中标公告,城市,http://www.gc-zb.com/read-185118125,中标,,,,,
27,沈阳中城城市矿产资源开发有限公司沈阳城市固废综合利用绿色环保产业园金字塔超细破碎机、锤头、回料破碎机、滚筒脉冲袋式除尘器、鄂式破碎机采购中标公告,城市,http://www.gc-zb.com/read-185118048,中标,,,,,
28,沈阳中城城市矿产资源开发有限公司沈阳城市固废综合利用绿色环保产业园立式复合破碎机丶振动给料机采购中标公告,城市,http://www.gc-zb.com/read-185116670,中标,,,,,
29,沈阳中城城市矿产资源开发有限公司沈阳城市固废综合利用绿色环保产业园砖瓦计算机自动配料系统丶加水系统采购中标公告,城市,http://www.gc-zb.com/read-185115429,中标,,,,,
30,中国人民武装警察部队辽宁省总队参谋部汽车中队车辆保险采购项目结果公告,辽宁省,http://www.gc-zb.com/read-185149063,中标,,,,,
31,新民市融媒体中心设备及APP开发采购变更结果公告,新民市,http://www.gc-zb.com/read-186194056,中标,,,,,
32,锦州市凌河区档案馆档案数字化扫描项目,锦州市,http://www.gc-zb.com/read-185020654,中标,,,,,
33,中国船舶重工集团公司第七六〇研究所船载式光学特性跟踪测试平台-中标候选人公示,台中,http://www.gc-zb.com/read-184971474,中标,,,,,
