,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,中国人民银行大连市中心支行钞票处理业务和库区操作员业务外包服务采购项目竞争性磋商,辽宁省,http://www.bidchance.com/info-gonggao-47462684.html,招标,,,,,
1,大连市普兰店区四平镇人民政府四平街道2019年低收入村扶贫开发项目公开招标公告,辽宁省,http://www.bidchance.com/info-gonggao-47456866.html,招标,,,,,
2,北方广电网络公司沈阳分公司2020年物业管理服务外包项目,沈阳市,http://www.bidchance.com/info-gonggao-47458274.html,招标,,,,,
3,本溪市医疗保障局城镇职工大额补充医疗保险及城乡居民大病保险,本溪市,http://www.bidchance.com/info-gonggao-47405476.html,招标,,,,,
4,大连港北岸投资开发有限公司北岸公司港内巡检工作0000-19XJLGJT0523,辽宁省,http://www.bidchance.com/info-gonggao-47398591.html,招标,,,,,
5,空地一体化集群智能机器人系统开发平台—实体重建系统（JJ19001173）采购公告,辽宁省,http://www.bidchance.com/info-gonggao-47400223.html,招标,,,,,
6,中国邮政集团公司辽宁省沈阳邮区中心局报刊分发、封发处理业务外包项目单一来源采前公示,辽宁省,http://www.bidchance.com/info-gonggao-47400244.html,招标,,,,,
7,空地一体化集群智能机器人系统开发平台—Turbot3地面机器人集群（JJ19001175）采购公告,辽宁省,http://www.bidchance.com/info-gonggao-47401970.html,招标,,,,,
8,空地一体化集群智能机器人系统开发平台—深度感知光学系统平台（JJ19001174）采购公告,辽宁省,http://www.bidchance.com/info-gonggao-47402207.html,招标,,,,,
9,长春春铁物流集团有限公司街基货场货物6线集装箱装卸业务外包资格预审公告（代招标公告）,沈阳市,http://www.bidchance.com/info-gonggao-47409325.html,招标,,,,,
10,空地一体化集群智能机器人系统开发平台—光学定位跟踪系统（JJ19001177）采购公告,辽宁省,http://www.bidchance.com/info-gonggao-47411843.html,招标,,,,,
11,营口中板有限责任公司MES及相关系统开发改造项目机加工MES系统招标书,营口市,http://www.bidchance.com/info-gonggao-47414320.html,招标,,,,,
12,电子档案扫描采购公告,沈阳市,http://www.bidchance.com/info-gonggao-47417632.html,招标,,,,,
13,辽宁中医药大学大学生创新创业孵化基地LED屏幕采购,辽宁省,http://www.bidchance.com/info-gonggao-47420684.html,招标,,,,,
14,[线下][招标]ZTSYJ2019-CGS0900长春春铁物流集团有限公司街基货场货物6线集装箱装卸业务外包资格预审公告（代招标公告）,沈阳市,http://www.bidchance.com/info-gonggao-47426374.html,招标,,,,,
15,ZTSYJ2019-CGS0879苏家屯机务段污水在线监测系统运营维护业务外包（二次）公开谈判公告,沈阳市,http://www.bidchance.com/info-gonggao-47432441.html,招标,,,,,
16,葫芦岛杨家杖子经济开发区境内垃圾集中整治项目采购公告,辽宁省,http://www.bidchance.com/info-gonggao-47437799.html,招标,,,,,
17,为残疾人投保意外伤害保险采购公告,沈阳市,http://www.bidchance.com/info-gonggao-47443831.html,招标,,,,,
18,2020年辽宁省高速公路服务区物业服务外包项目招标公告,辽宁省,http://www.bidchance.com/info-gonggao-47446327.html,招标,,,,,
19,辽宁省机关事务管理局机关省机关事务管理局车辆定点保险公司项目公开招标公告(LNZC2019-0536),辽宁省,http://www.bidchance.com/info-gonggao-47451254.html,招标,,,,,
20,大连石化公司装卸车等业务外包项目,大连市,http://www.bidchance.com/info-gonggao-47453576.html,招标,,,,,
21,大连石化公司碱液调和等业务外包项目,大连市,http://www.bidchance.com/info-gonggao-47453630.html,招标,,,,,
22,大连足球青训基地项目电线采购,大连市,http://www.bidchance.com/info-gonggao-47455015.html,招标,,,,,
23,辽宁蒙牛幸福乳业销售有限公司锦州分公司活动外包项目竞争性谈判公告,锦州市,http://www.bidchance.com/info-gonggao-47455359.html,招标,,,,,
24,大连足球青训基地项目玻璃棉、橡塑保温采购,大连市,http://www.bidchance.com/info-gonggao-47455410.html,招标,,,,,
25,吉林电务段长图线光缆大修挖沟业务外包（二次）公开谈判公告,沈阳市,http://www.bidchance.com/info-gonggao-47455420.html,招标,,,,,
26,中国移动辽宁公司2019年多业务综合测试套件采购项目_比选公告,辽宁省,http://www.bidchance.com/info-gonggao-47456144.html,招标,,,,,
27,大连足球青训基地项目阀门、热风幕采购,辽宁省,http://www.bidchance.com/info-gonggao-47456992.html,招标,,,,,
28,大连足球青训基地项目塑料管及管件、金属穿线管采购,大连市,http://www.bidchance.com/info-gonggao-47457808.html,招标,,,,,
29,2020年辽宁省高速公路服务区物业服务外包,辽宁省,http://www.bidchance.com/info-gonggao-47458365.html,招标,,,,,
30,中国银行大连旅顺支行10kv变电设施改造项目,大连市,http://www.bidchance.com/info-gonggao-47461401.html,招标,,,,,
31,大连国际健康科技产业聚集区综合开发项目PPP咨询服务机构采购项目招标公告,大连市,http://www.bidchance.com/info-gonggao-47467639.html,招标,,,,,
