,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,2019-2021年天津中心大数据分析开发服务采购项目_单一来源采购信息公告,天津市,http://www.qianlima.com/zb/detail/20191128_161588664.html,招标,,,,,
1,天津经济技术开发区建设和交通局西区人工湿地运行维护项目(项目编号:BHJJGP-TEDA-2019-013)公开招标公告,天津市,http://www.qianlima.com/zb/detail/20191128_161580244.html,招标,,,,,
2,天津滨海高新技术产业开发区管理委员会机关委托第三方机构开展海泰集团综合改革工作(项目编号:167258825)公开招标公告,天津市,http://www.qianlima.com/zb/detail/20191128_161564535.html,招标,,,,,
3,天津市蓟州区杨津庄镇芍药鲜切花基地产销一体化建设项目芍药栽植服务项目招标公告,天津市,http://www.qianlima.com/zb/detail/20191128_161565899.html,招标,,,,,
4,天津市蓟州区杨津庄镇芍药鲜切花基地产销一体化建设项目专用有机肥采购项目招标公告,天津市,http://www.qianlima.com/zb/detail/20191128_161565872.html,招标,,,,,
5,天津经济技术开发区中区办公室经开区中区2020－2021年度临时污水处理站运维项目(项目编号:TEDAGP-2019-029)公开招标公告,天津市,http://www.qianlima.com/zb/detail/20191128_161565172.html,招标,,,,,
6,天津滨海高新技术产业开发区管理委员会机关2019-2021年度海洋科技园公共通勤班车服务(项目编号:166918142)公开招标公告,天津市,http://www.qianlima.com/zb/detail/20191128_161564550.html,招标,,,,,
7,天津市西青区王稳庄镇人民政府机关王稳庄镇机关物业管理2020年度服务外包项目(项目编号:HCBYCG-2019-110)竞争性磋商公告,天津市,http://www.qianlima.com/zb/detail/20191128_161556524.html,招标,,,,,
8,曹妃甸6-4油田开发项目变送器国际招标公告(2),,http://www.qianlima.com/zb/detail/20191128_161550704.html,招标,,,,,
9,天津市滨海新区中医医院降钙素原（PCT）检测试剂及其配套设备项目竞争性磋商公告,天津市,http://www.qianlima.com/zb/detail/20191128_161547893.html,招标,,,,,
10,天津滨海高新技术产业开发区管理委员会机关委托第三方开展2019-2020年度环境监测(项目编号:165520546)公开招标公告,天津市,http://www.qianlima.com/zb/detail/20191128_161547296.html,招标,,,,,
11,中国民航大学差示扫描量热仪和数据采集系统采购项目国际招标公告(1),,http://www.qianlima.com/zb/detail/20191128_161535459.html,招标,,,,,
12,中国民航大学模态特性测试及仿真分析系统国际招标公告,,http://www.qianlima.com/zb/detail/20191128_161535458.html,招标,,,,,
13,中国民航大学带扫描电镜高温复合疲劳试验系统国际招标公告,,http://www.qianlima.com/zb/detail/20191128_161535430.html,招标,,,,,
14,中国民航大学差示扫描量热仪和数据采集系统采购项目招标公告,,http://www.qianlima.com/zb/detail/20191128_161535311.html,招标,,,,,
15,天津市社会保险基金管理中心采购其他类（文件、资料、报表、表格等）印刷项目,天津市,http://www.qianlima.com/zb/detail/20191128_161505416.html,招标,,,,,
16,天津市住房公积金管理中心开发管理部3M灯箱及标准化工程竞争性磋商公告,天津市,http://www.qianlima.com/zb/detail/20191128_161510710.html,招标,,,,,
17,水下产品研发测试中心科研平台建设项目压力测试设备标段二招标公告,,http://www.qianlima.com/zb/detail/20191128_161500678.html,招标,,,,,
18,（监理）国家轨道交通检验检测基地项目,,http://www.qianlima.com/zb/detail/20191128_161505872.html,招标,,,,,
19,天津市光合墅建设开发有限公司光合东里项目,天津市,http://www.qianlima.com/zb/detail/20191128_161505396.html,招标,,,,,
20,水下产品研发测试中心科研平台建设项目中控室设备标段一招标公告,,http://www.qianlima.com/zb/detail/20191128_161494558.html,招标,,,,,
21,天津银行股份有限公司2019-2020年度零售品牌营销策划活动项目竞争性磋商公告,天津市,http://www.qianlima.com/zb/detail/20191128_161494495.html,招标,,,,,
22,天津市百维现代农业技术开发有限公司蝴蝶兰大棚电缆工程竞争性磋商公告,天津市,http://www.qianlima.com/zb/detail/20191128_161494469.html,招标,,,,,
23,天津海河教育园区投资开发有限公司2020-2022年度招标代理机构服务资格入围项目招标公告,天津市,http://www.qianlima.com/zb/detail/20191128_161483125.html,招标,,,,,
24,中国移动天津公司2019年网络支撑客服系统改造提升项目_单一来源采购信息公告,天津市,http://www.qianlima.com/zb/detail/20191128_161473036.html,招标,,,,,
25,中铁建大桥工程局集团第一工程有限公司天津建筑产业化研发基地建设项目关于暖气片的询价单,天津市,http://www.qianlima.com/zb/detail/20191128_161465674.html,招标,,,,,
26,天津于家堡城市资源运营管理有限公司城市运营“专业化、科技化、智慧化”提升咨询及渠道拓展服务入围项目招标公告,河北省,http://www.qianlima.com/zb/detail/20191128_161471580.html,招标,,,,,
27,天津开发区一汽大众基地开发建设有限公司包车服务项目招标公告,天津市,http://www.qianlima.com/zb/detail/20191128_161465304.html,招标,,,,,
28,天津佳源兴创新能源科技有限公司及其下属子公司“智慧能源站”管理系统软件开发建设项目,天津市,http://www.qianlima.com/zb/detail/20191128_161449564.html,招标,,,,,
29,中盐吉兰泰盐化集团有限公司PVC小包运输（乌斯太--天津市经济技术开发区100吨）,天津市,http://www.qianlima.com/zb/detail/20191128_161444512.html,招标,,,,,
30,天津滨海农村商业银行关于征集2020年度（蓝牙、二代）USBKEY设备采购项目供应商的公告,天津市,http://www.qianlima.com/zb/detail/20191128_161427287.html,招标,,,,,
31,招标公告:华冶天津三建精密组合轴承智能制造生产研发基地项目土方工程分包招标,天津市,http://www.qianlima.com/zb/detail/20191128_161423704.html,招标,,,,,
32,KINTEX-7开发板,开发板,http://www.qianlima.com/zb/detail/20191128_161421765.html,招标,,,,,
33,开发板套件,,http://www.qianlima.com/zb/detail/20191128_161411999.html,招标,,,,,
34,天津市滨海新区住房和建设委员会采购扫描仪项目,天津市,http://www.qianlima.com/zb/detail/20191127_161376947.html,招标,,,,,
35,天津市宝坻区人力资源和社会保障局采购便携式计算机（不包括移动工作站）项目,天津市,http://www.qianlima.com/zb/detail/20191127_161376654.html,招标,,,,,
36,天津市东丽区发展和改革委员会采购扫描仪项目,天津市,http://www.qianlima.com/zb/detail/20191127_161374923.html,招标,,,,,
37,天津市河东区市场监督管理局采购扫描仪项目,天津市,http://www.qianlima.com/zb/detail/20191127_161374807.html,招标,,,,,
38,天津滨海新区中天天普人力资源服务有限公司天津（滨海）海外人才离岸创新创业基地展厅设计项目竞争性磋商,天津市,http://www.qianlima.com/zb/detail/20191128_161383592.html,招标,,,,,
