,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,【烟台市】烟台高新技术产业开发区金山湾管理处（烟台高新技术产业开发区农业农村发展局）2019年乡村振兴重大专项资金渔业增殖放流项目询价公告,烟台市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201303357,招标,,,,,
1,【青岛市】开发区财政所梅山路污水管网工程竞争性磋商公告,青岛市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201303301,招标,,,,,
2,【济南市】济南市历城区人民政府全福街道办事处人力资源服务采购公开招标公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201303275,招标,,,,,
3,【青岛市】青岛高新技术产业开发区管理委员会行政审批局青岛高新区“互联网+政务服务”智慧数据云平台公开招标公告,青岛市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201303255,招标,,,,,
4,【济南市】济南高新技术产业开发区东区街道办事处2019年交通设施养护项目竞争性磋商公告,济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201303143,招标,,,,,
5,【潍坊市】潍坊高新技术产业开发区人民医院内、外网络线路系统改造项目竞争性磋商公告,潍坊市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201303027,招标,,,,,
6,【济南市】济南市人民政府办公厅济南市人民政府办公厅测试评估认证服务公开招标公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201303014,招标,,,,,
7,【临沂市】临沂市图书馆公共文化服务外包采购项目竞争性磋商公告,市临沂市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201302727,招标,,,,,
8,【威海市】选定好运角旅游度假区2020年地质勘察工程入围单位竞争性磋商公告,威海市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201302692,招标,,,,,
9,【枣庄市】枣庄市教育局机关校（园）方责任保险经纪服务采购项目竞争性磋商公告,枣庄市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201302668,招标,,,,,
10,【菏泽市】东明县小井镇西紫荆村行政村扶贫开发项目竞争性磋商公告,菏泽市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201302651,招标,,,,,
11,【威海市】乳山经济开发区省级生态工业园区验收服务项目竞争性磋商公告,威海市乳,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201302515,招标,,,,,
12,【济南市】济南市按摩医院济南市按摩医院软件开发服务竞争性谈判公告,市济南市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201301980,招标,,,,,
13,【日照市】残疾人人身意外伤害保险公开招标公告,日照市,http://www.ccgp-shandong.gov.cn/sdgp2017/site/read.jsp?colcode=0303&id=201301986,招标,,,,,
