,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,中国邮政集团公司太原市分公司辅助岗位业务外包服务采购项目框架协议招标公告,太原市,http://www.sxbid.com.cn/f/view-6796f0c147374f85a50199b38ecb0af6-396fdcdf06104233b49423a6c23bf445.html?loginFlag=loginAndPayAndTime,招标,,,,,
1,综合管理学习平台开发及配套设施采购项目招标公告,太原市,http://www.sxbid.com.cn/f/view-6796f0c147374f85a50199b38ecb0af6-cc7d9fa3f15d495f8bb8e75c553be653.html?loginFlag=loginAndPayAndTime,招标,,,,,
2,山西杏花村汾酒集团卫生业务外包招标撤销公告,吕梁市,http://www.sxbid.com.cn/f/view-6796f0c147374f85a50199b38ecb0af6-dfc689d30fa94c449cae49bc6237e808.html?loginFlag=loginAndPayAndTime,招标,,,,,
3,山西潞安环保能源开发股份有限公司常村矿门式起重机采购（LAZBSB-2019-0207）招标公告,长治市,http://www.sxbid.com.cn/f/view-6796f0c147374f85a50199b38ecb0af6-662f8ea085f2433f9c10ccd232bf4897.html?loginFlag=loginAndPayAndTime,招标,,,,,
4,山西潞安环保能源开发股份有限公司五阳矿平巷人车采购（LAZBSB-2019-0187）三次招标公告,长治市,http://www.sxbid.com.cn/f/view-6796f0c147374f85a50199b38ecb0af6-b6052c4a240a49b7b612cca3470bbc7f.html?loginFlag=loginAndPayAndTime,招标,,,,,
5,山西省交城县石沙庄“三稀”矿产预查岩矿测试招标公告,太原市,http://www.sxbid.com.cn/f/view-6796f0c147374f85a50199b38ecb0af6-f6005709e24a4832b18e202fa16d62b0.html?loginFlag=loginAndPayAndTime,招标,,,,,
6,山西潞安环保能源开发股份有限公司救护队矿井救灾通讯装置采购（LAZBSB-2019-0269）三次招标公告,长治市,http://www.sxbid.com.cn/f/view-6796f0c147374f85a50199b38ecb0af6-16a67eebe2974628bdfecf599aaa75ff.html?loginFlag=loginAndPayAndTime,招标,,,,,
7,山西省烟草公司阳泉市公司印刷制作供应商入围项目框架协议招标公告,阳泉市,http://www.sxbid.com.cn/f/view-6796f0c147374f85a50199b38ecb0af6-71d0feed6661487d862dc5413619c32c.html?loginFlag=loginAndPayAndTime,招标,,,,,
8,山西平遥农村商业银行股份有限公司各支行网点门头灯箱制作工程谈判采购公告,晋中市,http://www.sxbid.com.cn/f/view-f368055b9dd748089851eba6519b205f-59c46251234c49eb8bdb5eb0937e9356.html?loginFlag=loginAndPayAndTime,招标,,,,,
9,山西潞安矿业（集团）有限责任公司物资供应处、山西潞安环保能源开发股份有限公司采供部聚酯输送带、一般难燃输送带采购（LAZBCL-2019-0182）招标公告,长治市,http://www.sxbid.com.cn/f/view-6796f0c147374f85a50199b38ecb0af6-1e1e5f404a984440876d70d47bc04959.html?loginFlag=loginAndPayAndTime,招标,,,,,
10,山西潞安矿业（集团）有限责任公司物资供应处、山西潞安环保能源开发股份有限公司采供部水泥采购（LAZBCL-2019-0117）五次招标延期公告,长治市,http://www.sxbid.com.cn/f/view-6796f0c147374f85a50199b38ecb0af6-1af80304e22247eaa4b9e1bd97bfa2de.html?loginFlag=loginAndPayAndTime,招标,,,,,
