,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,北京大学深圳研究生院WEB漏扫-主机扫描-渗透网络安全服务项目结果公告,深圳,http://www.qianlima.com/zb/detail/20191104_157298195.html,中标,,,,,
1,深圳职业技术学院新能源实训小车开发平台采购中标结果公示,深圳,http://www.qianlima.com/zb/detail/20191104_157281203.html,中标,,,,,
2,《光明科学城开发建设管理平台》服务采购项目中标公告,,http://www.qianlima.com/zb/detail/20191104_157274335.html,中标,,,,,
3,国家开发银行深圳市分行网络运维服务外包项目招标废止公告,深圳市,http://www.qianlima.com/zb/detail/20191104_157265249.html,中标,国家开发银行,分行,,,
4,福田区人力资源局采购结果公示,资源,http://www.qianlima.com/zb/detail/20191104_157268450.html,中标,,,,,
5,南山区政务服务数据管理局圳智慧.智慧园区平台建设项目开发服务中标公告,山区,http://www.qianlima.com/zb/detail/20191104_157262231.html,中标,,,,,
6,深圳市南山区政务服务数据管理局南山区智慧政务（政务微信）开发服务项目中标公告,深圳市,http://www.qianlima.com/zb/detail/20191104_157262200.html,中标,,,,,
7,SZUCG20190561EQ超声波测试仪,,http://www.qianlima.com/zb/detail/20191104_157218679.html,中标,,,,,
8,凤凰学校特殊教育教师服务外包采购（二次）中标公告,凤凰,http://www.qianlima.com/zb/detail/20191104_157225705.html,中标,,,,,
9,微众银行总部大厦项目临建区域标准化围挡采购招标,,http://www.qianlima.com/zb/detail/20191104_157181537.html,中标,,,,,
10,曹妃甸6-4油田开发项目EMS系统(重新招标)中标候选人公示,,http://www.qianlima.com/zb/detail/20191104_157178178.html,中标,,,,,
11,招商局金融科技有限公司2019年至2020年研发人力外包采购项目中标候选人公示,,http://www.qianlima.com/zb/detail/20191104_157171357.html,中标,,,,,
12,鼎信科技公司智能电网应用事业部2019年智能作业专业第二批技术人力服务需求采购(二次招标)结果公告,,http://www.qianlima.com/zb/detail/20191104_157121747.html,中标,,,,,
13,曹妃甸6-4油田开发项目EMS评标结果公示公告(1),,http://www.qianlima.com/zb/detail/20191104_157111866.html,中标,,,,,
