,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,天津现代职业技术学院天津现代职业技术学院教学资源库微信平台开发服务项目_第1包(项目编号:TJBD-2017-C-060)合同公告,资源,http://tjgp.cz.tj.gov.cn/viewer.do?id=165598281&ver=2,招标,,,,,
1,天津经济技术开发区行政审批局两厅融合系统建设项目(项目编号:TJBHGP-TEDA-2019-088)成交公告,天津,http://tjgp.cz.tj.gov.cn/viewer.do?id=165596305&ver=2,招标,,,,,
2,天津医科大学第二医院基因测序检验外包服务项目(项目编号:BH-YDEY2019755)公开招标公告,天津,http://tjgp.cz.tj.gov.cn/viewer.do?id=165576702&ver=2,招标,,,,,2019-12-10
3,天津市宝坻区人力资源和社会保障局机关购置打印机合同公告,天津市,http://tjgp.cz.tj.gov.cn/viewer.do?id=165576105&ver=2,招标,,,,,
4,天津市东丽区职业教育中心学校学生宿舍管理服务外包项目_第1包(项目编号:bagp-2019-C-124)合同公告,天津市,http://tjgp.cz.tj.gov.cn/viewer.do?id=165573392&ver=2,招标,,,,,
5,天津滨海高新技术产业开发区管理委员会机关社发局购置华苑社区居委会办公设备1台笔记本电脑合同公告,滨海,http://tjgp.cz.tj.gov.cn/viewer.do?id=165566653&ver=2,招标,,,,,
6,天津滨海高新技术产业开发区管理委员会机关社发局购置华苑社区居委会办公设备3台多功能一体机合同公告,滨海,http://tjgp.cz.tj.gov.cn/viewer.do?id=165566645&ver=2,招标,,,,,
7,天津滨海高新技术产业开发区管理委员会机关天津未来产业创新基金合伙企业（有限合伙）专项审计外聘中介机构项目(项目编号:SYZXZC-2019-033)成交公告,滨海,http://tjgp.cz.tj.gov.cn/viewer.do?id=165566540&ver=2,招标,,,,,
8,天津滨海高新技术产业开发区管理委员会机关社发局购置华苑社区居委会办公设备1台复印机合同公告,滨海,http://tjgp.cz.tj.gov.cn/viewer.do?id=165566543&ver=2,招标,,,,,
9,天津市环境保护科技信息中心移动污染源监控系统软件开发项目(项目编号:TGPC-2019-D-0428)中标公告,天津市,http://tjgp.cz.tj.gov.cn/viewer.do?id=165565082&ver=2,中标,,,,,
10,天津滨海高新技术产业开发区管理委员会机关社发局购置华苑社区居委会办公设备10台电脑合同公告,滨海,http://tjgp.cz.tj.gov.cn/viewer.do?id=165564963&ver=2,招标,,,,,
11,天津市南开区人力资源和社会保障局南开区流动人员人事档案信息化建设项目(项目编号:YHZB2019-N-110)中标公告,天津市,http://tjgp.cz.tj.gov.cn/viewer.do?id=165564162&ver=2,中标,,,,,
12,中国共产党天津市纪律检查委员会机关天津市惩治和预防腐败教育基地购置电视机项目(项目编号:HYGP-2019-A-075)公开招标公告,天津市,http://tjgp.cz.tj.gov.cn/viewer.do?id=165554313&ver=2,招标,,,,,2019-12-05
13,天津市人力资源和社会保障局公共平台建设项目(项目编号:TGPC-2019-D-0430)中标公告,天津市,http://tjgp.cz.tj.gov.cn/viewer.do?id=165533979&ver=2,中标,,,,,
14,天津市武清区高村镇人民政府机关武清区高村镇人民政府综合执法服务外包项目(项目编号:WQCG2019-1267)中标公告,天津市,http://tjgp.cz.tj.gov.cn/viewer.do?id=165524654&ver=2,中标,,,,,
