,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,中国邮政储蓄银行重庆分行招标代理机构入围采购中选候选人公示,重庆,http://www.chinapost.com.cn/html1/report/19101/2048-1.htm,中标,,,,,
1,中国邮政储蓄银行重庆分行分行与度小满公司省际通信线路新增线路中选候选人公示,重庆,http://www.chinapost.com.cn/html1/report/19101/2046-1.htm,中标,,,,,
2,中国邮政储蓄银行重庆江津区支行2019年四季度保险业务营销宣传活动及三方执行外包服务项目采购结果公示,江津,http://www.chinapost.com.cn/html1/report/19101/2012-1.htm,中标,,,,,
3,中国邮政储蓄银行重庆巴南区支行开展小企业客户维护营销宣传活动及三方执行外包服务项目采购结果公示,巴南区,http://www.chinapost.com.cn/html1/report/19101/2009-1.htm,中标,,,,,
4,中国邮政储蓄银行黑龙江省分行第二批信用卡不良资产委外催收服务项目中标公告,黑龙江省,http://www.chinapost.com.cn/html1/report/19101/1872-1.htm,中标,,,,,
5,中国邮政储蓄银行股份有限公司佳木斯市分行宣传物料、印刷品采购项目中标公告,佳木斯市,http://www.chinapost.com.cn/html1/report/19101/1870-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
6,中国邮政储蓄银行黑河分行车辆维保服务采购（二次）中标公告,黑河,http://www.chinapost.com.cn/html1/report/19101/1868-1.htm,中标,,,,,
7,中国邮政储蓄银行河南省分行财税咨询顾问服务采购项目（二次）成交结果公示,河南省,http://www.chinapost.com.cn/html1/report/19101/1826-1.htm,中标,,,,,
8,中国邮政储蓄银行股份有限公司扬州市分行高邮市支行食堂、办公楼及网点物业服务采购项目中标候选人公示,高邮市,http://www.chinapost.com.cn/html1/report/19101/1824-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
9,中国邮政储蓄银行股份有限公司扬州市分行2019年-2020年全区零星维修项目采购项目中标候选人公示,扬州市,http://www.chinapost.com.cn/html1/report/19101/1818-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
10,中国邮政储蓄银行黑龙江省分行营业家具采购项目中标公示,黑龙江省,http://www.chinapost.com.cn/html1/report/19101/1794-1.htm,中标,,,,,
11,中国邮政储蓄银行黑龙江省分行办公家具采购项目中标公告,黑龙江省,http://www.chinapost.com.cn/html1/report/19101/1792-1.htm,中标,,,,,
12,中国邮政储蓄银行哈尔滨市理工大学支行装修改造工程项目中标公示,哈尔滨市,http://www.chinapost.com.cn/html1/report/19101/1788-1.htm,中标,,,,,
13,中国邮政储蓄银行股份有限公司云南省分行生产车辆采购-标包2中标候选人公示,云南省,http://www.chinapost.com.cn/html1/report/19101/2460-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
14,中国邮政储蓄银行云南省分行董家湾营运用房装修改造项目设计服务采购竞争性磋商评审结果公示,云南省,http://www.chinapost.com.cn/html1/report/19101/2458-1.htm,中标,,,,,
15,中国邮政储蓄银行股份有限公司云南省分行2019年信用卡市场宣传营销活动服务供应商入围招标（三次重招）中标候选人公示,云南省,http://www.chinapost.com.cn/html1/report/19101/2456-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
16,中国邮政储蓄银行重庆分行2019-2021年员工健康体检（第三次）采购中标候选人公示,重庆,http://www.chinapost.com.cn/html1/report/19101/2434-1.htm,中标,,,,,
17,中国邮政储蓄银行股份有限公司重庆分行2019年条码收单终端设备采购中标结果公示表,重庆,http://www.chinapost.com.cn/html1/report/19101/2432-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
18,中国邮政储蓄银行股份有限公司漯河市分行信用卡外拓营销培训服务结果公示,漯河市,http://www.chinapost.com.cn/html1/report/19101/1557-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
19,中国邮政储蓄银行山东省分行一二级支行装修瓷砖、木门、室外门、柜台人造石台面供应商采购入围招标项目中标公示,山东省,http://www.chinapost.com.cn/html1/report/19101/1325-1.htm,中标,,,,,
