,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,中国邮政储蓄银行股份有限公司江西省分行营运用房网络汇聚间及配套设备采购项目招标公告,江西省,http://www.chinapost.com.cn/html1/report/1911/8004-1.htm,招标,中国邮政储蓄银行股份有限公司,分行,2015年1月1,,2019年12月4
1,中国邮政储蓄银行股份有限公司安徽省分行2020年春联采购项目公开招标公告,安徽省,http://www.chinapost.com.cn/html1/report/1911/7958-1.htm,招标,中国邮政储蓄银行股份有限公司,分行,,2019年11月14,
2,中国邮政储蓄银行股份有限公司厦门分行2019-2022年分行报警系统联网服务采购项目公开招标公告（二次）,厦门,http://www.chinapost.com.cn/html1/report/1911/7934-1.htm,招标,中国邮政储蓄银行股份有限公司,分行,,,2019年12月04
3,中国邮政储蓄银行股份有限公司吉林省分行管理网接入路由器框架入围采购项目招标公告,吉林省,http://www.chinapost.com.cn/html1/report/1911/7841-1.htm,招标,中国邮政储蓄银行股份有限公司,分行,,,
4,中国邮政储蓄银行股份有限公司吉林省分行一汽支行专属智能化设备采购项目招标公告,吉林省,http://www.chinapost.com.cn/html1/report/1911/7839-1.htm,招标,中国邮政储蓄银行股份有限公司,分行,,,
5,2019年中国邮政储蓄银行北京分行自建信息系统维保服务采购项目（三次）公开招标公告,北京,http://www.chinapost.com.cn/html1/report/1911/7831-1.htm,招标,,,,,
6,中国邮政储蓄银行北京分行排队叫号机联网系统维保服务采购项目公开招标公告,北京,http://www.chinapost.com.cn/html1/report/1911/7829-1.htm,招标,,,,,
7,中国邮政储蓄银行北京分行2019-2020年柯达扫描仪全包式维保服务采购项目公开招标公告,北京,http://www.chinapost.com.cn/html1/report/1911/7821-1.htm,招标,,,,,
8,中国邮政储蓄银行股份有限公司苏州市分行高铁站主题展厅采购项目公开招标公告,苏州市,http://www.chinapost.com.cn/html1/report/1911/7466-1.htm,招标,中国邮政储蓄银行股份有限公司,分行,2019年12月04,,
9,中国邮政储蓄银行股份有限公司常州市分行对账资料整理外包服务采购项目公开招标公告（第二次）,常州市,http://www.chinapost.com.cn/html1/report/1911/7458-1.htm,招标,中国邮政储蓄银行股份有限公司,分行,,,
