,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,中国邮政储蓄银行股份有限公司连州市东陂支行网点整治工程中标结果公告,连州市,http://www.chinapost.com.cn/html1/report/1911/8013-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
1,中国邮政储蓄银行股份有限公司广州市炭步支行网点整治工程中标结果公告,广州市,http://www.chinapost.com.cn/html1/report/1911/8010-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
2,中国邮政储蓄银行股份有限公司广州市金沙路支行网点整治工程中标结果公告,广州市,http://www.chinapost.com.cn/html1/report/1911/8008-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
3,中国邮政储蓄银行北京分行自动化运维平台采购项目中标候选人公示,北京,http://www.chinapost.com.cn/html1/report/1911/7962-1.htm,中标,,,,,
4,中国邮政储蓄银行股份有限公司河南省分行信用卡风险审查非核心业务外包采购项目中标候选人公示,河南省,http://www.chinapost.com.cn/html1/report/1911/7857-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
5,中国邮政储蓄银行股份有限公司河南省分行网络金融部2019年收单业务营销活动项目七标段、八标段三次成交候选人公示,河南省,http://www.chinapost.com.cn/html1/report/1911/7855-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
6,中国邮政储蓄银行股份有限公司河南省分行网络金融部2019年收单业务营销活动项目五标段三次中标候选人公示,河南省,http://www.chinapost.com.cn/html1/report/1911/7853-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
7,中国邮政储蓄银行股份有限公司河南省分行网络金融部2019年收单业务营销活动项目三标段、六标段二次中标候选人公示,河南省,http://www.chinapost.com.cn/html1/report/1911/7851-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
8,中国邮政储蓄银行股份有限公司河南省分行网络金融部2019年收单业务营销活动项目一标段二标段二次中标候选人公示,河南省,http://www.chinapost.com.cn/html1/report/1911/7849-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
9,中国邮政储蓄银行北京分行零售信贷非核心业务外包服务采购项目中标候选人公示,北京,http://www.chinapost.com.cn/html1/report/1911/7827-1.htm,中标,,,,,
10,中国邮政储蓄银行北京分行2019年金晖俱乐部感恩答谢会活动组织采购项目中标候选人公示,北京,http://www.chinapost.com.cn/html1/report/1911/7823-1.htm,中标,,,,,
11,中国邮政储蓄银行股份有限公司河南省分行不良贷款委外催收服务项目中标候选人公示,河南省,http://www.chinapost.com.cn/html1/report/1911/7817-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
12,中国邮政储蓄银行天津分行条码收单业务用具采购项目中标结果公示,天津,http://www.chinapost.com.cn/html1/report/1911/7783-1.htm,中标,,,,,
13,中国邮政储蓄银行天津分行数据分析平台系统集成及数据治理采购项目中标结果公示,天津,http://www.chinapost.com.cn/html1/report/1911/7781-1.htm,中标,,,,,
14,中国邮政储蓄银行股份有限公司苏州市分行常熟市支行场地管理及迎宾服务外包项目中标候选人公示,常熟市,http://www.chinapost.com.cn/html1/report/1911/7464-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
15,中国邮政储蓄银行股份有限公司漯河市分行公车驾驶服务外包项目单一来源采购结果公示,漯河市,http://www.chinapost.com.cn/html1/report/1911/7190-1.htm,中标,中国邮政储蓄银行股份有限公司,分行,,,
