,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,世界银行贷款浙江千岛湖及新安江流域水资源与生态保护项目森林防火GIS联动指挥监控预警系统招标公告,浙江,http://www.gc-zb.com/read-196253065.html,招标,,,,,
1,中国人民银行安庆市中心支行桌面云项目,安徽,http://www.gc-zb.com/read-196197190.html,招标,,,,,
2,徽商银行关于国债（电子式、凭证式）系统迁移采购项目的招标公告,安徽,http://www.gc-zb.com/read-196179083.html,招标,,,,,
3,新疆银行存储扩容采购项目招标公告,新疆,http://www.gc-zb.com/read-196125643.html,招标,,,,,
4,新疆银行2019年度等级保护测评服务项目招标公告,新疆,http://www.gc-zb.com/read-196125641.html,招标,,,,,
5,国华电力-财务部-银行存款余额调节表专项审计框架采购（中国神华）-公开询价-服务的采购,北京,http://www.gc-zb.com/read-196122879.html,招标,,,,,
6,国华电力-财务部-银行存款余额调节表专项审计框架采购（国电控股）-公开询价-服务的采购,北京,http://www.gc-zb.com/read-196122882.html,招标,,,,,
7,交通银行股份有限公司湖南省分行湖南经视频道2019年《经视焦点》子版块“经视大调查”广告发布项目结果公告,湖南,http://www.gc-zb.com/read-196122669.html,招标,,,,,
8,山东蓬莱农村商业银行股份有限公司春节物资采购中标公告,山东,http://www.gc-zb.com/read-196122623.html,中标,,,,,
9,献县房征办开设银行专户采购项目,河北,http://www.gc-zb.com/read-196122384.html,招标,,,,,
10,中国光大银行客户体验转型咨询服务采购项目公开招标中标候选人公示,上海,http://www.gc-zb.com/read-196122336.html,中标,,,,,
11,世界银行贷款青海西宁城市交通项目公交车载客流分析系统采购合同,青海,http://www.gc-zb.com/read-196121614.html,招标,,,,,
12,山东蓬莱农村商业银行股份有限公司对联及福字采购中标公告,山东,http://www.gc-zb.com/read-196121490.html,中标,,,,,
13,恒丰银行成都分行城区营业机构及自助网点2020年度押运服务第二次单一来源采购中标公告,四川,http://www.gc-zb.com/read-196115546.html,中标,,,,,
14,徽商银行多联机系统招标新,安徽,http://www.gc-zb.com/read-196119046.html,招标,,,,,
15,江苏如东农村商业银行股份有限公司毛巾采购项目采购公告（第二次）,江苏,http://www.gc-zb.com/read-196115285.html,招标,,,,,
16,江苏如东农村商业银行股份有限公司家纺采购项目采购公告（第二次）,江苏,http://www.gc-zb.com/read-196115272.html,招标,,,,,
17,中国人民银行周口市中心支行车辆保险服务,河南,http://www.gc-zb.com/read-196103242.html,招标,,,,,
18,汕头经济特区农村信用合作社联合社改制组建农村商业银行法律服务项目中标公告,广东,http://www.gc-zb.com/read-196089773.html,中标,,,,,
19,北京市财政局、中国人民银行营业管理部2019年北京市市级国库现金管理商业银行定期存款（第十期）项目中标公告,北京,http://www.gc-zb.com/read-196089586.html,中标,,,,,
20,山西稷山农村商业银行股份有限公司新建档案室建设项目中标结果公示更正,山西,http://www.gc-zb.com/read-196088943.html,中标,,,,,
