,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
0,"
中国人民银行大兴安岭地区中心支行劳务服务外包采购项目更正公告
",黑龙江,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/201911/t20191128_13446665.htm,招标,,,,,
1,"
山东省高端化工基地（东明石化产业园）智安化工园区平台建设及监理服务项目公开招标公告
",山东,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201911/t20191128_13446563.htm,招标,,,,,
2,"
洋浦经济开发区就业局档案密集架采购项目询价公告
",,http://www.ccgp.gov.cn/cggg/dfgg/xjgg/201911/t20191128_13446543.htm,招标,,,,2019年11月28,
3,"
成都高新技术产业开发区玉成乡人民政府路灯采购比选项目
",四川,http://www.ccgp.gov.cn/cggg/dfgg/qtgg/201911/t20191128_13446459.htm,招标,,,,2019年11月29,2019年12月4
4,"
白云区房地一体的宅基地和集体建设用地试点外业权籍调查和成果审核项目的中标、成交公告
",广东,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201911/t20191128_13446433.htm,中标,,,,,
5,"
乌鲁木齐银行股份有限公司乌鲁木齐银行普通凭证印制服务项目中标公告
",新疆,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/201911/t20191128_13446454.htm,中标,,,,,
6,"
福建龙海农村商业银行股份有限公司物业服务采购项目竞争性磋商
",福建,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/201911/t20191128_13446444.htm,招标,,,,,
7,"
中华人民共和国退役军人事务部网络和基础设施运行维护服务及测试环境建设项目公开招标公告
",北京,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201911/t20191128_13446442.htm,招标,,,,,2019年12月19
8,"
工业和信息化部无线电管理局购买2020-2021年度无线电发射设备型号核准证后监督检查所需测试等技术支撑服务项目中标公告
",北京,http://www.ccgp.gov.cn/cggg/zygg/zbgg/201911/t20191128_13446305.htm,中标,,,,,
9,"
华中农业大学“工科创新与实训基地电力增容及室外道排工程”竞争性磋商公告
",湖北,http://www.ccgp.gov.cn/cggg/zygg/jzxcs/201911/t20191128_13446394.htm,招标,,,,,
10,"
北京市医疗保障局门户网站和对外服务网络建设费通用应用软件开发服务采购项目公开招标公告
",北京,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201911/t20191128_13446308.htm,招标,,,,,2019-12-19
11,"
山东省地质矿产勘查开发局第五地质大队地质专用设备购置项目竞争性磋商公告
",山东,http://www.ccgp.gov.cn/cggg/dfgg/jzxcs/201911/t20191128_13446292.htm,招标,,,,,
12,"
深圳清华大学研究院光量热差示扫描量热仪、能谱分析系统及配件采购招标公告
",广东,http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201911/t20191128_13446345.htm,招标,,,2019年12月11,,2019年12月11
13,"
福州市劳动就业中心福州市失业保险基金财务软件升级项目合同公示
",福建,http://www.ccgp.gov.cn/cggg/dfgg/qtgg/201911/t20191128_13446322.htm,招标,,,,,
14,"
深圳清华大学研究院岩心驱替协同微纳米CT扫描系统—组件2（X射线衍射仪）采购更正公告
",广东,http://www.ccgp.gov.cn/cggg/dfgg/gzgg/201911/t20191128_13446325.htm,招标,,,,,
15,"
福州市社会劳动保险管理中心社保档案规范化整理及基础数据采集挂接项目合同公示
",福建,http://www.ccgp.gov.cn/cggg/dfgg/qtgg/201911/t20191128_13446301.htm,招标,,,,,
